question_id,state
high10024.txt_q0,A_three_valid_all_same
high10024.txt_q1,A_three_valid_all_same
high10024.txt_q2,A_three_valid_all_same
high10042.txt_q0,A_three_valid_all_same
high10042.txt_q1,A_three_valid_all_same
high10042.txt_q2,A_three_valid_all_same
high10042.txt_q3,A_three_valid_all_same
high10042.txt_q4,A_three_valid_all_same
high10060.txt_q0,A_three_valid_all_same
high10060.txt_q1,A_three_valid_all_same
high10060.txt_q2,A_three_valid_all_same
high10112.txt_q0,A_three_valid_all_same
high10112.txt_q1,A_three_valid_all_same
high10112.txt_q2,A_three_valid_all_same
high10146.txt_q0,A_three_valid_all_same
high10146.txt_q1,A_three_valid_all_same
high10146.txt_q2,A_three_valid_all_same
high10154.txt_q0,A_three_valid_all_same
high10154.txt_q1,A_three_valid_all_same
high10154.txt_q2,B_three_valid_exactly_two_same
high10160.txt_q0,A_three_valid_all_same
high10160.txt_q1,A_three_valid_all_same
high10160.txt_q2,A_three_valid_all_same
high10177.txt_q0,A_three_valid_all_same
high10177.txt_q1,A_three_valid_all_same
high10177.txt_q2,A_three_valid_all_same
high10179.txt_q0,A_three_valid_all_same
high10179.txt_q1,A_three_valid_all_same
high10179.txt_q2,A_three_valid_all_same
high10179.txt_q3,B_three_valid_exactly_two_same
high10187.txt_q0,A_three_valid_all_same
high10187.txt_q1,A_three_valid_all_same
high10187.txt_q2,A_three_valid_all_same
high10215.txt_q0,A_three_valid_all_same
high10215.txt_q1,A_three_valid_all_same
high10215.txt_q2,A_three_valid_all_same
high10229.txt_q0,A_three_valid_all_same
high10229.txt_q1,A_three_valid_all_same
high10229.txt_q2,A_three_valid_all_same
high10255.txt_q0,A_three_valid_all_same
high10255.txt_q1,A_three_valid_all_same
high10255.txt_q2,A_three_valid_all_same
high10261.txt_q0,A_three_valid_all_same
high10261.txt_q1,A_three_valid_all_same
high10261.txt_q2,A_three_valid_all_same
high10261.txt_q3,A_three_valid_all_same
high10261.txt_q4,A_three_valid_all_same
high10272.txt_q0,A_three_valid_all_same
high10272.txt_q1,A_three_valid_all_same
high10272.txt_q2,A_three_valid_all_same
high10316.txt_q0,A_three_valid_all_same
high10316.txt_q1,A_three_valid_all_same
high10316.txt_q2,A_three_valid_all_same
high10316.txt_q3,B_three_valid_exactly_two_same
high10355.txt_q0,A_three_valid_all_same
high10355.txt_q1,A_three_valid_all_same
high10429.txt_q0,A_three_valid_all_same
high10429.txt_q1,A_three_valid_all_same
high10429.txt_q2,A_three_valid_all_same
high10429.txt_q3,A_three_valid_all_same
high10449.txt_q0,A_three_valid_all_same
high10449.txt_q1,A_three_valid_all_same
high10449.txt_q2,A_three_valid_all_same
high10449.txt_q3,A_three_valid_all_same
high10467.txt_q0,A_three_valid_all_same
high10467.txt_q1,A_three_valid_all_same
high10467.txt_q2,A_three_valid_all_same
high10467.txt_q3,A_three_valid_all_same
high10479.txt_q0,A_three_valid_all_same
high10479.txt_q1,A_three_valid_all_same
high10479.txt_q2,A_three_valid_all_same
high10479.txt_q3,A_three_valid_all_same
high1048.txt_q0,A_three_valid_all_same
high1048.txt_q1,A_three_valid_all_same
high1048.txt_q2,A_three_valid_all_same
high10490.txt_q0,A_three_valid_all_same
high10504.txt_q0,A_three_valid_all_same
high10504.txt_q1,A_three_valid_all_same
high10504.txt_q2,A_three_valid_all_same
high10504.txt_q3,B_three_valid_exactly_two_same
high10532.txt_q0,A_three_valid_all_same
high10532.txt_q1,A_three_valid_all_same
high10532.txt_q2,B_three_valid_exactly_two_same
high10570.txt_q0,A_three_valid_all_same
high10570.txt_q1,A_three_valid_all_same
high10570.txt_q2,A_three_valid_all_same
high10570.txt_q3,A_three_valid_all_same
high10570.txt_q4,A_three_valid_all_same
high10579.txt_q0,A_three_valid_all_same
high10579.txt_q1,A_three_valid_all_same
high10579.txt_q2,B_three_valid_exactly_two_same
high10579.txt_q3,A_three_valid_all_same
high10643.txt_q0,A_three_valid_all_same
high10643.txt_q1,A_three_valid_all_same
high10643.txt_q2,A_three_valid_all_same
high10643.txt_q3,A_three_valid_all_same
high10666.txt_q0,A_three_valid_all_same
high10666.txt_q1,A_three_valid_all_same
high10666.txt_q2,A_three_valid_all_same
high10668.txt_q0,A_three_valid_all_same
high10668.txt_q1,A_three_valid_all_same
high10668.txt_q2,A_three_valid_all_same
high10677.txt_q0,A_three_valid_all_same
high10677.txt_q1,A_three_valid_all_same
high10677.txt_q2,A_three_valid_all_same
high10677.txt_q3,A_three_valid_all_same
high10677.txt_q4,A_three_valid_all_same
high10687.txt_q0,A_three_valid_all_same
high10687.txt_q1,A_three_valid_all_same
high10687.txt_q2,A_three_valid_all_same
high10687.txt_q3,A_three_valid_all_same
high1069.txt_q0,A_three_valid_all_same
high1069.txt_q1,A_three_valid_all_same
high1069.txt_q2,A_three_valid_all_same
high1069.txt_q3,A_three_valid_all_same
high107.txt_q0,A_three_valid_all_same
high107.txt_q1,A_three_valid_all_same
high107.txt_q2,A_three_valid_all_same
high10709.txt_q0,A_three_valid_all_same
high10709.txt_q1,A_three_valid_all_same
high10709.txt_q2,B_three_valid_exactly_two_same
high10720.txt_q0,A_three_valid_all_same
high10720.txt_q1,B_three_valid_exactly_two_same
high10720.txt_q2,A_three_valid_all_same
high10760.txt_q0,A_three_valid_all_same
high10760.txt_q1,A_three_valid_all_same
high10760.txt_q2,A_three_valid_all_same
high10771.txt_q0,A_three_valid_all_same
high10771.txt_q1,A_three_valid_all_same
high10771.txt_q2,A_three_valid_all_same
high10775.txt_q0,A_three_valid_all_same
high10775.txt_q1,A_three_valid_all_same
high10775.txt_q2,A_three_valid_all_same
high10788.txt_q0,A_three_valid_all_same
high10788.txt_q1,A_three_valid_all_same
high10788.txt_q2,A_three_valid_all_same
high1080.txt_q0,A_three_valid_all_same
high1080.txt_q1,A_three_valid_all_same
high1080.txt_q2,A_three_valid_all_same
high1080.txt_q3,A_three_valid_all_same
high1080.txt_q4,A_three_valid_all_same
