question_id,n_votes,consensus_status,consensus_option,llm_correct
high10024.txt_q0,3,consensus,B,1
high10024.txt_q1,3,consensus,A,1
high10024.txt_q2,3,consensus,D,1
high10042.txt_q0,3,consensus,C,1
high10042.txt_q1,3,consensus,A,1
high10042.txt_q2,3,consensus,D,1
high10042.txt_q3,3,consensus,A,1
high10042.txt_q4,3,consensus,B,1
high10060.txt_q0,3,consensus,A,1
high10060.txt_q1,3,consensus,A,1
high10060.txt_q2,3,consensus,D,1
high10112.txt_q0,3,consensus,B,1
high10112.txt_q1,3,consensus,A,1
high10112.txt_q2,3,consensus,B,1
high10146.txt_q0,3,consensus,D,1
high10146.txt_q1,3,consensus,C,0
high10146.txt_q2,3,consensus,A,1
high10154.txt_q0,3,consensus,B,1
high10154.txt_q1,3,consensus,A,1
high10154.txt_q2,3,consensus,D,0
high10160.txt_q0,3,consensus,C,1
high10160.txt_q1,3,consensus,D,1
high10160.txt_q2,3,consensus,B,1
high10177.txt_q0,3,consensus,B,1
high10177.txt_q1,3,consensus,C,1
high10177.txt_q2,3,consensus,A,1
high10179.txt_q0,3,consensus,A,1
high10179.txt_q1,3,consensus,C,1
high10179.txt_q2,3,consensus,A,1
high10179.txt_q3,3,consensus,A,0
high10187.txt_q0,3,consensus,C,1
high10187.txt_q1,3,consensus,A,1
high10187.txt_q2,3,consensus,D,1
high10215.txt_q0,3,consensus,B,1
high10215.txt_q1,3,consensus,B,1
high10215.txt_q2,3,consensus,D,1
high10229.txt_q0,3,consensus,C,1
high10229.txt_q1,3,consensus,B,1
high10229.txt_q2,3,consensus,B,0
high10255.txt_q0,3,consensus,B,1
high10255.txt_q1,3,consensus,C,1
high10255.txt_q2,3,consensus,D,1
high10261.txt_q0,3,consensus,D,1
high10261.txt_q1,3,consensus,A,1
high10261.txt_q2,3,consensus,C,1
high10261.txt_q3,3,consensus,C,1
high10261.txt_q4,3,consensus,B,1
high10272.txt_q0,3,consensus,D,1
high10272.txt_q1,3,consensus,A,1
high10272.txt_q2,3,consensus,C,1
high10316.txt_q0,3,consensus,C,0
high10316.txt_q1,3,consensus,A,1
high10316.txt_q2,3,consensus,D,1
high10316.txt_q3,3,consensus,C,1
high10355.txt_q0,3,consensus,A,1
high10355.txt_q1,3,consensus,D,1
high10429.txt_q0,3,consensus,B,1
high10429.txt_q1,3,consensus,B,1
high10429.txt_q2,3,consensus,D,1
high10429.txt_q3,3,consensus,C,1
high10449.txt_q0,3,consensus,A,1
high10449.txt_q1,3,consensus,C,1
high10449.txt_q2,3,consensus,D,1
