question_id,n_attempts,n_correct,mean_correct,human_bucket,human_diff_score,bridge
0,3498,1750,0.5002858776443682,Human-Mid,0.4997141223556318,EeDi
1,393,281,0.7150127226463104,Human-Mid,0.2849872773536895,EeDi
2,3242,1399,0.4315237507711289,Human-Mid,0.5684762492288711,EeDi
3,2721,2210,0.8122013965453877,Human-Easy,0.1877986034546123,EeDi
4,2196,961,0.4376138433515483,Human-Mid,0.5623861566484517,EeDi
5,1854,727,0.3921251348435814,Human-Hard,0.6078748651564185,EeDi
6,3047,1694,0.555956678700361,Human-Mid,0.4440433212996389,EeDi
7,2268,1440,0.6349206349206349,Human-Mid,0.3650793650793651,EeDi
8,4211,2362,0.5609118974115412,Human-Mid,0.4390881025884587,EeDi
9,1011,394,0.3897131552917903,Human-Hard,0.6102868447082097,EeDi
10,2381,1093,0.4590508189836203,Human-Mid,0.5409491810163797,EeDi
11,3165,1789,0.5652448657187994,Human-Mid,0.4347551342812006,EeDi
12,3959,2143,0.5412983076534479,Human-Mid,0.4587016923465521,EeDi
13,1901,1395,0.7338243029984218,Human-Mid,0.2661756970015781,EeDi
14,2571,1475,0.573706728899261,Human-Mid,0.426293271100739,EeDi
15,276,236,0.855072463768116,Human-Easy,0.144927536231884,EeDi
16,4104,2698,0.6574074074074074,Human-Mid,0.3425925925925925,EeDi
17,1405,802,0.5708185053380783,Human-Mid,0.4291814946619217,EeDi
18,3558,1612,0.4530635188308038,Human-Mid,0.5469364811691961,EeDi
19,2748,1762,0.641193595342067,Human-Mid,0.358806404657933,EeDi
20,2354,1413,0.6002548853016143,Human-Mid,0.3997451146983857,EeDi
21,1291,963,0.7459333849728892,Human-Mid,0.2540666150271108,EeDi
22,2961,1851,0.6251266464032421,Human-Mid,0.3748733535967579,EeDi
23,768,402,0.5234375,Human-Mid,0.4765625,EeDi
24,2677,1646,0.614867388868136,Human-Mid,0.385132611131864,EeDi
25,2590,2030,0.7837837837837838,Human-Mid,0.2162162162162162,EeDi
26,1694,855,0.5047225501770957,Human-Mid,0.4952774498229043,EeDi
27,2712,1362,0.5022123893805309,Human-Mid,0.4977876106194691,EeDi
28,391,287,0.7340153452685422,Human-Mid,0.2659846547314578,EeDi
29,1874,1128,0.6019210245464247,Human-Mid,0.3980789754535753,EeDi
30,3700,1960,0.5297297297297298,Human-Mid,0.4702702702702702,EeDi
31,2333,1588,0.6806686669524218,Human-Mid,0.3193313330475782,EeDi
32,105,39,0.3714285714285714,Human-Hard,0.6285714285714286,EeDi
33,125,113,0.904,Human-Easy,0.0959999999999999,EeDi
34,3665,2069,0.5645293315143247,Human-Mid,0.4354706684856753,EeDi
35,1555,877,0.5639871382636656,Human-Mid,0.4360128617363343,EeDi
36,1100,487,0.4427272727272727,Human-Mid,0.5572727272727273,EeDi
37,2721,1572,0.577728776185226,Human-Mid,0.422271223814774,EeDi
38,2572,1293,0.5027216174183515,Human-Mid,0.4972783825816484,EeDi
39,2703,1273,0.4709581945985941,Human-Mid,0.5290418054014059,EeDi
40,2673,960,0.3591470258136924,Human-Hard,0.6408529741863076,EeDi
41,1221,628,0.5143325143325144,Human-Mid,0.4856674856674856,EeDi
42,242,108,0.4462809917355372,Human-Mid,0.5537190082644627,EeDi
43,775,390,0.5032258064516129,Human-Mid,0.4967741935483871,EeDi
44,3786,1754,0.4632857897517168,Human-Mid,0.5367142102482831,EeDi
45,2693,1150,0.4270330486446342,Human-Mid,0.5729669513553657,EeDi
46,2675,787,0.2942056074766355,Human-Hard,0.7057943925233645,EeDi
47,3561,2214,0.6217354675652906,Human-Mid,0.3782645324347093,EeDi
48,1372,563,0.4103498542274053,Human-Mid,0.5896501457725947,EeDi
49,2712,1225,0.4516961651917404,Human-Mid,0.5483038348082596,EeDi
50,3079,1870,0.6073400454693082,Human-Mid,0.3926599545306918,EeDi
51,2095,1231,0.5875894988066825,Human-Mid,0.4124105011933174,EeDi
52,3307,1494,0.4517689749017236,Human-Mid,0.5482310250982764,EeDi
53,4457,2464,0.5528382319946152,Human-Mid,0.4471617680053847,EeDi
54,2326,1027,0.441530524505589,Human-Mid,0.5584694754944111,EeDi
55,1541,690,0.4477611940298507,Human-Mid,0.5522388059701493,EeDi
56,4251,2162,0.5085862150082333,Human-Mid,0.4914137849917667,EeDi
57,220,128,0.5818181818181818,Human-Mid,0.4181818181818182,EeDi
58,126,77,0.6111111111111112,Human-Mid,0.3888888888888888,EeDi
59,3261,2301,0.7056117755289788,Human-Mid,0.2943882244710212,EeDi
60,2241,1076,0.4801427933958054,Human-Mid,0.5198572066041945,EeDi
