question_id,content_asset_path,content_asset_sha256,correct_option,n_attempts,n_students,n_correct,empirical_correctness
0,data/eedi_public_download/extracted/data/images/0.jpg,edc30ed5c291c87d9678f2c0c967051281034a92b35b0e6ae9a6fb6366383021,1,2812,2812,1247,0.44345661450924606
1,data/eedi_public_download/extracted/data/images/1.jpg,caf54630ac7128d950f7d180e24f063f6dae21db9e280cddba73546133a0fbdd,3,14,14,8,0.5714285714285714
2,data/eedi_public_download/extracted/data/images/2.jpg,c53be4abcd1fffc629144232926bac51b6806f9fbfeced046b5c07dce7a0f9e0,2,2313,2313,891,0.3852140077821012
3,data/eedi_public_download/extracted/data/images/3.jpg,e4195d22caaef79d3245cc34a2a434653915357374d7cd364e0b3584523022af,2,2672,2672,2161,0.8087574850299402
4,data/eedi_public_download/extracted/data/images/4.jpg,60e2805370f66e1c6527c493f88a5855aace097289c24c233a831c5f0efa79e7,3,1704,1704,684,0.4014084507042254
5,data/eedi_public_download/extracted/data/images/5.jpg,4bc93285901f34d74af529e2d3ead48b880b2b65f2454fd726a31a721717547f,4,833,833,159,0.1908763505402161
6,data/eedi_public_download/extracted/data/images/6.jpg,8f4a8e292cee5b985c612e1ee42d0ff9116ac3e0cba36a99504e70c094e29891,2,1718,1718,908,0.5285215366705471
7,data/eedi_public_download/extracted/data/images/7.jpg,5af7d701f31244db46ff5b1411945a06806acfb996a4abe7736ce6464ff27046,2,89,89,31,0.34831460674157305
8,data/eedi_public_download/extracted/data/images/8.jpg,5d2139ff8eaab03dff92a7a59e9ec9c3342c058c4f36acf13fa3b403f3da2194,1,2327,2327,912,0.3919209282337774
9,data/eedi_public_download/extracted/data/images/9.jpg,93cb658a349c682d97a548dfa0f3717fdfde61323da8b6ddcc4884a146ab35ec,3,834,834,303,0.36330935251798563
10,data/eedi_public_download/extracted/data/images/10.jpg,a78313c1d8a5d565cab3aa20f0630ef4082dd97305eb8fbbdf9b735792744ab7,1,1572,1572,632,0.4020356234096692
11,data/eedi_public_download/extracted/data/images/11.jpg,2815136513a17d4416e919960515a902d9630a3a7c1d30b8aa8127fc723395b5,2,2171,2171,995,0.45831414094887146
12,data/eedi_public_download/extracted/data/images/12.jpg,9034b6951ff73c649270bca34c22958113fd9f1703e847f6c0bd6926dd4783b9,4,1701,1701,679,0.3991769547325103
13,data/eedi_public_download/extracted/data/images/13.jpg,e7dd5e5ee088473b72c026da51126dcab46ef395737707c42676c3000bd34ae6,1,1259,1259,877,0.6965845909451946
14,data/eedi_public_download/extracted/data/images/14.jpg,2e4d957817c5870e76ee926b73747ffac1ba35168da7a63df60fa1e7b63757ae,1,1697,1697,1134,0.6682380671773719
15,data/eedi_public_download/extracted/data/images/15.jpg,dd6b8406d2b100bd54523fe741b0ad71f4e28afec805d30f984b84966d56ca66,3,4,4,2,0.5
16,data/eedi_public_download/extracted/data/images/16.jpg,af5640a1e3493db063494d73d026b11894a6b5a7bd8c44e1a862f22d2281b71c,1,2300,2300,1342,0.5834782608695652
17,data/eedi_public_download/extracted/data/images/17.jpg,6359a0c3531d908a02dee0a6bce00c7b874c19551ec448163fba4cd1d619c3a3,4,848,848,364,0.42924528301886794
18,data/eedi_public_download/extracted/data/images/18.jpg,31e8898852008dc147803b64e6b31bb84de28d7fe0078442258b16dd7aad672a,1,2173,2173,690,0.3175333640128854
19,data/eedi_public_download/extracted/data/images/19.jpg,1fa1d86fb2ee9adfd83845c26668567d9385456092081bf4b57255418b3bb7dc,3,2692,2692,1711,0.6355869242199108
20,data/eedi_public_download/extracted/data/images/20.jpg,9f1d7c95a649c76be704e1f7a62df3b1f023de2ca8abe918ea35a19df51490b8,3,1707,1707,1082,0.6338605741066198
21,data/eedi_public_download/extracted/data/images/21.jpg,1994873ed5c6eb0b21bb3405ace467835bb6ef35ed10b8fb0785ee127a5fbb5a,2,137,137,56,0.40875912408759124
22,data/eedi_public_download/extracted/data/images/22.jpg,10912f9b14c405d5db0281e4293125801fd9bb183667cb49532f93b5678ee478,3,2797,2797,1730,0.618519842688595
23,data/eedi_public_download/extracted/data/images/23.jpg,7d3dea2855ccd6fcc94b3f1dc19d8d2d74b05e0c20dc3a29f8b034d5e4d1c15c,3,579,579,260,0.44905008635578586
24,data/eedi_public_download/extracted/data/images/24.jpg,4d276751b21569f2fe5ac04c53f2a64f3d01729f802e884605c49983a25edcf4,2,2391,2391,1481,0.6194061062317022
25,data/eedi_public_download/extracted/data/images/25.jpg,ac355263028e84298a4592d3c304a4d9cc0ac8dae423e073c94061a54110148e,2,2410,2410,1956,0.8116182572614108
26,data/eedi_public_download/extracted/data/images/26.jpg,82a4d7c68455bc586699d3b6529f9bc06a5694dd4c75e1fbeb4aeeeda4eea931,3,1505,1505,795,0.5282392026578073
27,data/eedi_public_download/extracted/data/images/27.jpg,7035653e7382f9ee1aa467b768a6f6cfd08a3bde51c39d5c620db965351ff305,1,2329,2329,1052,0.45169600686990125
28,data/eedi_public_download/extracted/data/images/28.jpg,c4293baae2e431741c511f22739e79d060953421b70746e87461e84e8d8afbf0,1,90,90,44,0.4888888888888889
29,data/eedi_public_download/extracted/data/images/29.jpg,6da4c05aa874c0ba07e65469ac627d06df8665ce85a18470d3d3aae8c1c0b5d2,4,1730,1730,1066,0.6161849710982659
