question_id,human_irt_difficulty,human_eb_difficulty,empirical_correctness,correct,error,solver_id
0,0.29564267,0.5563363474744464,0.44345661450924606,False,1,solver_1_qwen2vl7b
1,0.23829542,0.45403264350395045,0.5714285714285714,True,0,solver_1_qwen2vl7b
2,0.5755465,0.6143043433898776,0.3852140077821012,False,1,solver_1_qwen2vl7b
3,-1.62354,0.19227474362944952,0.8087574850299402,True,0,solver_1_qwen2vl7b
4,0.55871004,0.5980254150508215,0.4014084507042254,False,1,solver_1_qwen2vl7b
5,1.8047155,0.8056783533535783,0.1908763505402161,False,1,solver_1_qwen2vl7b
6,-0.11786091,0.4715921690343269,0.5285215366705471,False,1,solver_1_qwen2vl7b
7,0.92814016,0.6368442688439473,0.34831460674157305,False,1,solver_1_qwen2vl7b
8,0.52302426,0.6076266501256392,0.3919209282337774,False,1,solver_1_qwen2vl7b
9,0.74300456,0.6351257879867206,0.36330935251798563,False,1,solver_1_qwen2vl7b
10,0.53735054,0.5973546195105645,0.4020356234096692,False,1,solver_1_qwen2vl7b
11,0.21357839,0.5414804759918688,0.45831414094887146,True,0,solver_1_qwen2vl7b
12,0.6077826,0.6002439459013778,0.3991769547325103,True,0,solver_1_qwen2vl7b
13,-0.89076626,0.30478618738229024,0.6965845909451946,False,1,solver_1_qwen2vl7b
14,-0.78308773,0.3326283763820571,0.6682380671773719,False,1,solver_1_qwen2vl7b
15,0.14193279,0.49504378993515175,0.5,False,1,solver_1_qwen2vl7b
16,-0.41838428,0.4168251477991739,0.5834782608695652,True,0,solver_1_qwen2vl7b
17,0.4098505,0.5699211871191294,0.42924528301886794,False,1,solver_1_qwen2vl7b
18,0.94441855,0.681669518295702,0.3175333640128854,True,0,solver_1_qwen2vl7b
19,-0.5949048,0.36484945124794566,0.6355869242199108,True,0,solver_1_qwen2vl7b
20,-0.5247685,0.3668170298803429,0.6338605741066198,False,1,solver_1_qwen2vl7b
21,0.43232507,0.5850671583860803,0.40875912408759124,False,1,solver_1_qwen2vl7b
22,-0.5468787,0.38184440192660485,0.618519842688595,False,1,solver_1_qwen2vl7b
23,0.4302758,0.5500441123628901,0.44905008635578586,True,0,solver_1_qwen2vl7b
24,-0.56742465,0.38102313984110425,0.6194061062317022,False,1,solver_1_qwen2vl7b
25,-1.6600989,0.1895366131249412,0.8116182572614108,True,0,solver_1_qwen2vl7b
26,-0.17939693,0.4718887873057819,0.5282392026578073,True,0,solver_1_qwen2vl7b
27,0.2711981,0.5480865187625817,0.45169600686990125,True,0,solver_1_qwen2vl7b
28,0.22615924,0.509424757510355,0.4888888888888889,True,0,solver_1_qwen2vl7b
29,-0.54120755,0.38439042321330974,0.6161849710982659,False,1,solver_1_qwen2vl7b
30,0.0403205,0.49235862490182913,0.507643085673658,False,1,solver_1_qwen2vl7b
31,-0.82177067,0.3286819872700586,0.6719858156028369,True,0,solver_1_qwen2vl7b
32,0.5646679,0.6002171163231507,0.38571428571428573,False,1,solver_1_qwen2vl7b
33,1.4462377,0.570944474728045,0.25,True,0,solver_1_qwen2vl7b
34,0.05152847,0.5089419630655616,0.49099485420240135,True,0,solver_1_qwen2vl7b
35,-0.06775877,0.48429462345608665,0.5161290322580645,True,0,solver_1_qwen2vl7b
36,0.51700157,0.5914099215697908,0.407496977025393,True,0,solver_1_qwen2vl7b
37,-0.4827958,0.3948546270536386,0.6055408970976254,False,1,solver_1_qwen2vl7b
38,0.0752486,0.5039879578646068,0.4959709911361805,False,1,solver_1_qwen2vl7b
39,0.35999912,0.5437412239215857,0.45607978519370923,True,0,solver_1_qwen2vl7b
