question_id,mean_prob,std_prob,frac_correct,last_correct,last_prob,pred_correct,pred_prob,region,seed,encoder_run_id
high10024.txt_q0,0.9985498636960983,0.0026055038620539832,1.0,1,1.0,1,1.0,easy,0,enc_longformer_seed0
high10024.txt_q1,0.936039924621582,0.07047945199846012,1.0,1,0.999652624130249,1,0.9996526,middle,0,enc_longformer_seed0
high10024.txt_q2,0.9522677809000015,0.07197276645802324,1.0,1,0.9998832941055298,1,0.9998833,middle,0,enc_longformer_seed0
high10042.txt_q0,0.9982529580593109,0.0029009600764105434,1.0,1,1.0,1,1.0,easy,0,enc_longformer_seed0
high10042.txt_q1,0.7872036546468735,0.15293018748323842,1.0,1,0.9758644700050354,1,0.97586447,ambiguous,0,enc_longformer_seed0
high10042.txt_q2,0.721691370010376,0.11130802308711871,1.0,1,0.8740721940994263,1,0.8740722,middle,0,enc_longformer_seed0
high10042.txt_q3,0.8540630340576172,0.13090383580772416,1.0,1,0.9990735054016112,1,0.9990735,middle,0,enc_longformer_seed0
high10042.txt_q4,0.9978500604629517,0.004031694219274532,1.0,1,1.0,1,1.0,easy,0,enc_longformer_seed0
high10060.txt_q0,0.9996799230575562,0.0005891581668219913,1.0,1,1.0,1,1.0,easy,0,enc_longformer_seed0
high10060.txt_q1,0.9806548058986664,0.029559168538952806,1.0,1,0.9999865293502808,1,0.9999865,easy,0,enc_longformer_seed0
high10060.txt_q2,0.8466227650642395,0.16839473627888799,1.0,1,0.9963169097900392,1,0.9963169,ambiguous,0,enc_longformer_seed0
high10112.txt_q0,0.28642866387963295,0.062234283641163075,0.25,0,0.2057545334100723,0,0.20575453,hard,0,enc_longformer_seed0
high10112.txt_q1,0.9065456986427307,0.09839474210165486,1.0,1,0.999657392501831,1,0.9996574,middle,0,enc_longformer_seed0
high10112.txt_q2,0.032418176881037625,0.02522418647812765,0.0,0,0.0042092273943126,0,0.0042092274,hard,0,enc_longformer_seed0
high10146.txt_q0,0.9476344734430313,0.08725743843957726,1.0,1,0.9999868869781494,1,0.9999869,middle,0,enc_longformer_seed0
high10146.txt_q1,0.02684966276001428,0.03110517776661173,0.0,0,3.049100087082479e-05,0,3.0491e-05,hard,0,enc_longformer_seed0
high10146.txt_q2,0.9450425505638123,0.06511213480412853,1.0,1,0.9934453964233398,1,0.9934454,middle,0,enc_longformer_seed0
high10154.txt_q0,0.9525984972715378,0.03573208870202186,1.0,1,0.9989299178123474,1,0.9989299,easy,0,enc_longformer_seed0
high10154.txt_q1,0.9944176971912384,0.010378776427535609,1.0,1,1.0,1,1.0,easy,0,enc_longformer_seed0
high10154.txt_q2,0.0012602624853137203,0.0018540638332854972,0.0,0,2.28387406764341e-07,0,2.283874e-07,hard,0,enc_longformer_seed0
high10160.txt_q0,0.9786228537559508,0.02320486823733618,1.0,1,0.9986231327056884,1,0.99862313,easy,0,enc_longformer_seed0
high10160.txt_q1,0.9997222423553467,0.0005412970363271418,1.0,1,1.0,1,1.0,easy,0,enc_longformer_seed0
high10160.txt_q2,0.9499282538890839,0.09395817396885514,1.0,1,0.9996238946914672,1,0.9996239,middle,0,enc_longformer_seed0
high10177.txt_q0,0.843800738453865,0.16879361826054076,1.0,1,0.9909436106681824,1,0.9909436,ambiguous,0,enc_longformer_seed0
high10177.txt_q1,0.8847741186618805,0.10183467138526096,1.0,1,0.9101176261901855,1,0.9101176,middle,0,enc_longformer_seed0
high10177.txt_q2,0.7714001685380936,0.22302900210314117,1.0,1,0.9820156097412108,1,0.9820156,ambiguous,0,enc_longformer_seed0
high10179.txt_q0,0.1411039858940057,0.15817054967258312,0.0,0,0.0023330345284193,0,0.0023330345,ambiguous,0,enc_longformer_seed0
high10179.txt_q1,0.8719389587640762,0.17990703555133242,1.0,1,0.9972457885742188,1,0.9972458,ambiguous,0,enc_longformer_seed0
high10179.txt_q2,0.9020547270774841,0.08776286157974762,1.0,1,0.9655571579933168,1,0.96555716,middle,0,enc_longformer_seed0
high10179.txt_q3,0.04142895957920695,0.04917601338011634,0.0,0,0.0318742096424102,0,0.03187421,hard,0,enc_longformer_seed0
high10187.txt_q0,0.02511117456015195,0.02521332070708043,0.0,0,0.0029713897965848,0,0.0029713898,hard,0,enc_longformer_seed0
high10187.txt_q1,0.9943700283765793,0.006143198132980364,1.0,1,0.9997403025627136,1,0.9997403,easy,0,enc_longformer_seed0
high10187.txt_q2,0.8786076158285141,0.06881189701995624,1.0,1,0.9692953824996948,1,0.9692954,middle,0,enc_longformer_seed0
high10215.txt_q0,0.9921931475400925,0.01346233317766816,1.0,1,0.9999998807907104,1,0.9999999,easy,0,enc_longformer_seed0
high10215.txt_q1,0.7723932713270187,0.2790299378543422,1.0,1,0.9946249127388,1,0.9946249,ambiguous,0,enc_longformer_seed0
high10215.txt_q2,0.9890255630016327,0.016818886893943483,1.0,1,0.9999982118606568,1,0.9999982,easy,0,enc_longformer_seed0
high10229.txt_q0,0.016725861089071224,0.022772289814740807,0.0,0,0.0008066137088462,0,0.0008066137,hard,0,enc_longformer_seed0
high10229.txt_q1,0.01561834086896845,0.009719843090834674,0.0,0,0.0025667960289865,0,0.002566796,hard,0,enc_longformer_seed0
high10229.txt_q2,0.7923166900873184,0.19864275362264358,1.0,1,0.9946774244308472,1,0.9946774,ambiguous,0,enc_longformer_seed0
high10255.txt_q0,0.28069314919412136,0.2870758797319708,0.25,0,0.0367389321327209,0,0.036738932,ambiguous,0,enc_longformer_seed0
high10255.txt_q1,0.8604277819395065,0.1850243475491921,1.0,1,0.9883231520652772,1,0.98832315,ambiguous,0,enc_longformer_seed0
high10255.txt_q2,0.998512402176857,0.0029521134099419555,1.0,1,1.0,1,1.0,easy,0,enc_longformer_seed0
high10261.txt_q0,0.059815506712766295,0.07110202321385134,0.0,0,0.0018136511789634,0,0.0018136512,hard,0,enc_longformer_seed0
high10261.txt_q1,0.9931617379188538,0.010022090367855023,1.0,1,0.9999980926513672,1,0.9999981,easy,0,enc_longformer_seed0
