question_id,n_attempts,n_students,n_correct,empirical_correctness,empirical_difficulty,eb_correctness,eb_difficulty,posterior_lower_95,posterior_upper_95,irt_item_difficulty,irt_se,irt_ci_lower,irt_ci_upper
0,2812,2812,1247,0.44345661450924606,0.556543385490754,0.4436636525255536,0.5563363474744464,0.5379703683475714,0.5746266699405491,0.29564267,0.04374285,0.20990668,0.38137865
1,14,14,8,0.5714285714285714,0.4285714285714286,0.5459673564960495,0.45403264350395045,0.2613191751513262,0.6542666024837824,0.23829542,0.5986601,-0.9350784,1.4116693
2,2313,2313,891,0.3852140077821012,0.6147859922178989,0.3856956566101224,0.6143043433898776,0.5944196177190431,0.6340025789470409,0.5755465,0.05089397,0.47579432,0.6752987
3,2672,2672,2161,0.8087574850299402,0.19124251497005984,0.8077252563705505,0.19227474362944952,0.17758039409107196,0.20740390271964204,-1.62354,0.046347037,-1.7143803,-1.5326998
4,1704,1704,684,0.4014084507042254,0.5985915492957746,0.4019745849491785,0.5980254150508215,0.574709827088978,0.6211242181882772,0.55871004,0.05774368,0.44553244,0.67188764
5,833,833,159,0.1908763505402161,0.8091236494597839,0.19432164664642174,0.8056783533535783,0.778296856456254,0.8316849120516593,1.8047155,0.11306241,1.5831132,2.0263178
6,1718,1718,908,0.5285215366705471,0.47147846332945287,0.5284078309656731,0.4715921690343269,0.44809078284372306,0.495155870743633,-0.11786091,0.053820558,-0.22334921,-0.01237262
7,89,89,31,0.34831460674157305,0.651685393258427,0.36315573115605265,0.6368442688439473,0.5397897943432333,0.728616482524004,0.92814016,0.26623565,0.4063183,1.449962
8,2327,2327,912,0.3919209282337774,0.6080790717662226,0.3923733498743608,0.6076266501256392,0.5877456181831923,0.6273331389296137,0.52302426,0.050453298,0.4241358,0.6219127
9,834,834,303,0.36330935251798563,0.6366906474820144,0.3648742120132794,0.6351257879867206,0.6023575711043895,0.667286823312024,0.74300456,0.08534551,0.57572734,0.9102818
10,1572,1572,632,0.4020356234096692,0.5979643765903309,0.40264538048943554,0.5973546195105645,0.5730757730728668,0.6214001902172079,0.53735054,0.060180712,0.41939634,0.65530473
11,2171,2171,995,0.45831414094887146,0.5416858590511285,0.45851952400813123,0.5414804759918688,0.5205355566478903,0.5623533105389364,0.21357839,0.049596332,0.116369575,0.3107872
12,1701,1701,679,0.3991769547325103,0.6008230452674896,0.3997560540986223,0.6002439459013778,0.5769266510380993,0.6233391607914892,0.6077826,0.058038514,0.4940271,0.72153807
13,1259,1259,877,0.6965845909451946,0.30341540905480535,0.6952138126177098,0.30478618738229024,0.2797585605380143,0.33039700888423273,-0.89076626,0.061652582,-1.0116054,-0.7699272
14,1697,1697,1134,0.6682380671773719,0.3317619328226281,0.6673716236179429,0.3326283763820571,0.3104677993479058,0.3551606117648276,-0.78308773,0.05312638,-0.88721544,-0.67896
15,4,4,2,0.5,0.5,0.5049562100648483,0.49504378993515175,0.24029939752014506,0.7512123539887281,0.14193279,1.120422,-2.0540946,2.33796
16,2300,2300,1342,0.5834782608695652,0.4165217391304348,0.5831748522008261,0.4168251477991739,0.3967903976683349,0.4369963640067449,-0.41838428,0.045835543,-0.508222,-0.3285466
17,848,848,364,0.42924528301886794,0.570754716981132,0.4300788128808705,0.5699211871191294,0.5366511696098364,0.6028821425818394,0.4098505,0.08057173,0.2519299,0.5677711
18,2173,2173,690,0.3175333640128854,0.6824666359871145,0.318330481704298,0.681669518295702,0.6619739381981866,0.7010496883927757,0.94441855,0.056409307,0.8338563,1.0549808
19,2692,2692,1711,0.6355869242199108,0.3644130757800892,0.6351505487520543,0.36484945124794566,0.3467954187111376,0.3830930456259677,-0.5949048,0.042142212,-0.6775035,-0.51230603
20,1707,1707,1082,0.6338605741066198,0.3661394258933802,0.6331829701196571,0.3668170298803429,0.3441726885855978,0.3897553908311058,-0.5247685,0.05267417,-0.62800986,-0.4215271
21,137,137,56,0.40875912408759124,0.5912408759124088,0.4149328416139198,0.5850671583860803,0.5044846219875982,0.6634442323097047,0.43232507,0.20575261,0.029049933,0.8356002
22,2797,2797,1730,0.618519842688595,0.38148015731140505,0.6181555980733952,0.38184440192660485,0.36395327082497886,0.3998950570326293,-0.5468787,0.041283958,-0.6277953,-0.46596214
23,579,579,260,0.44905008635578586,0.5509499136442142,0.44995588763711,0.5500441123628901,0.5097268669271149,0.5900389789183664,0.4302758,0.09674665,0.24065235,0.6198993
24,2391,2391,1481,0.6194061062317022,0.3805938937682978,0.6189768601588957,0.38102313984110425,0.36169445215579654,0.4005396325097943,-0.56742465,0.044844925,-0.6553207,-0.4795286
25,2410,2410,1956,0.8116182572614108,0.1883817427385892,0.8104633868750588,0.1895366131249412,0.17416762955600462,0.20539178130930003,-1.6600989,0.048809417,-1.7557653,-1.5644325
26,1505,1505,795,0.5282392026578073,0.4717607973421927,0.5281112126942181,0.4718887873057819,0.44679129748734203,0.49705661674142876,-0.17939693,0.057202604,-0.29151404,-0.06727982
27,2329,2329,1052,0.45169600686990125,0.5483039931300988,0.45191348123741826,0.5480865187625817,0.5278811211388502,0.5682139985745662,0.2711981,0.048182603,0.1767602,0.365636
28,90,90,44,0.4888888888888889,0.5111111111111111,0.49057524248964507,0.509424757510355,0.4115620401498117,0.6069272559160285,0.22615924,0.23683843,-0.23804408,0.6903626
29,1730,1730,1066,0.6161849710982659,0.38381502890173413,0.6156095767866903,0.38439042321330974,0.3616638841482773,0.4073688117708131,-0.54120755,0.05268621,-0.64447254,-0.43794256
30,2813,2813,1428,0.507643085673658,0.492356914326342,0.5076413750981709,0.49235862490182913,0.47392353605173065,0.5108039720814184,0.0403205,0.042467427,-0.042915657,0.12355666
31,2256,2256,1516,0.6719858156028369,0.3280141843971631,0.6713180127299414,0.3286819872700586,0.3094875873504863,0.34816292714605024,-0.82177067,0.046249982,-0.91242063,-0.7311207
32,70,70,27,0.38571428571428573,0.6142857142857143,0.3997828836768494,0.6002171163231507,0.49090605053675884,0.7047305474181599,0.5646679,0.2879745,0.00023782253,1.1290979
33,4,4,1,0.25,0.75,0.42905552527195495,0.570944474728045,0.3079884163148766,0.8135262068245878,1.4462377,1.3811089,-1.2607359,4.153211
34,2332,2332,1145,0.49099485420240135,0.5090051457975986,0.49105803693443845,0.5089419630655616,0.48869056271611155,0.5291788927035175,0.05152847,0.047073476,-0.040735543,0.14379248
35,186,186,96,0.5161290322580645,0.4838709677419355,0.5157053765439134,0.48429462345608665,0.4145905325818222,0.5543036613154627,-0.06775877,0.16442901,-0.39003962,0.2545221
