question_id,split,grade_band,source_file,question_index,gold_option,passage_length_tokens,truncated,raw_data_sha256,region_seed0,region_seed1,region_seed2,region_majority,encoder_correct_mean,encoder_correct_majority,last_correct_seed0,last_correct_seed1,last_correct_seed2,pred_correct_seed0,pred_correct_seed1,pred_correct_seed2,backend_vote_1,backend_vote_2,backend_vote_3,consensus_option,consensus_status,llm_correct,vote_source,designer_difficulty_str,datamap_region,passage_approx_tokens,likely_truncated_2048,legacy_datamap_region,region_label,enc_correct,encoder_correct
middle2572.txt_q0,dev,MIDDLE,dev_mid.jsonl,0,B,298,0,8198d7efbbe79a228e60b216b011931cddf45148f2408d1efcdd39462f7ccf72,middle,middle,middle,middle,1.0,1,1,1,1,1,1,1,B,B,B,B,consensus,1,frozen_v1_two_of_three,MIDDLE,middle,298,0,ambiguous,middle,1.0,1.0
middle2572.txt_q1,dev,MIDDLE,dev_mid.jsonl,1,D,298,0,8198d7efbbe79a228e60b216b011931cddf45148f2408d1efcdd39462f7ccf72,middle,ambiguous,middle,middle,1.0,1,1,1,1,1,1,1,D,D,D,D,consensus,1,frozen_v1_two_of_three,MIDDLE,middle,298,0,ambiguous,middle,1.0,1.0
middle2572.txt_q2,dev,MIDDLE,dev_mid.jsonl,2,C,298,0,8198d7efbbe79a228e60b216b011931cddf45148f2408d1efcdd39462f7ccf72,easy,easy,easy,easy,1.0,1,1,1,1,1,1,1,C,C,C,C,consensus,1,frozen_v1_two_of_three,MIDDLE,easy,298,0,easy,easy,1.0,1.0
middle2572.txt_q3,dev,MIDDLE,dev_mid.jsonl,3,B,298,0,8198d7efbbe79a228e60b216b011931cddf45148f2408d1efcdd39462f7ccf72,ambiguous,middle,middle,middle,1.0,1,1,1,1,1,1,1,B,B,B,B,consensus,1,frozen_v1_two_of_three,MIDDLE,middle,298,0,middle,middle,1.0,1.0
middle2994.txt_q0,dev,MIDDLE,dev_mid.jsonl,0,A,337,0,8198d7efbbe79a228e60b216b011931cddf45148f2408d1efcdd39462f7ccf72,hard,hard,hard,hard,0.0,0,0,0,0,0,0,0,A,A,A,A,consensus,1,frozen_v1_two_of_three,MIDDLE,hard,337,0,hard,hard,0.0,0.0
middle2994.txt_q1,dev,MIDDLE,dev_mid.jsonl,1,B,337,0,8198d7efbbe79a228e60b216b011931cddf45148f2408d1efcdd39462f7ccf72,ambiguous,hard,hard,hard,0.0,0,0,0,0,0,0,0,B,B,B,B,consensus,1,frozen_v1_two_of_three,MIDDLE,hard,337,0,hard,hard,0.0,0.0
middle2994.txt_q2,dev,MIDDLE,dev_mid.jsonl,2,C,337,0,8198d7efbbe79a228e60b216b011931cddf45148f2408d1efcdd39462f7ccf72,hard,ambiguous,hard,hard,0.0,0,0,0,0,0,0,0,C,C,C,C,consensus,1,frozen_v1_two_of_three,MIDDLE,hard,337,0,hard,hard,0.0,0.0
middle2994.txt_q3,dev,MIDDLE,dev_mid.jsonl,3,D,337,0,8198d7efbbe79a228e60b216b011931cddf45148f2408d1efcdd39462f7ccf72,ambiguous,middle,middle,middle,1.0,1,1,1,1,1,1,1,D,B,D,D,consensus,1,frozen_v1_two_of_three,MIDDLE,middle,337,0,middle,middle,1.0,1.0
middle909.txt_q0,dev,MIDDLE,dev_mid.jsonl,0,C,254,0,8198d7efbbe79a228e60b216b011931cddf45148f2408d1efcdd39462f7ccf72,ambiguous,ambiguous,ambiguous,ambiguous,0.3333333333333333,0,1,0,0,1,0,0,C,C,C,C,consensus,1,frozen_v1_two_of_three,MIDDLE,ambiguous,254,0,hard,ambiguous,0.3333333333333333,0.3333333333333333
middle909.txt_q1,dev,MIDDLE,dev_mid.jsonl,1,C,254,0,8198d7efbbe79a228e60b216b011931cddf45148f2408d1efcdd39462f7ccf72,easy,easy,easy,easy,1.0,1,1,1,1,1,1,1,C,C,C,C,consensus,1,frozen_v1_two_of_three,MIDDLE,easy,254,0,easy,easy,1.0,1.0
