question_id,audit_arm,disagreement_score,designer_difficulty_str,datamap_region,llm_correct,llm_no_consensus,enc_correct
middle6374.txt_q1,high_disagreement,4.0,MIDDLE,hard,False,0,1.0
middle2507.txt_q2,high_disagreement,5.0,MIDDLE,hard,False,0,0.0
high16321.txt_q4,high_disagreement,3.0,HIGH,hard,False,0,0.0
high9625.txt_q1,high_disagreement,3.0,HIGH,hard,False,0,0.0
middle4287.txt_q4,high_disagreement,5.0,MIDDLE,hard,False,0,0.0
middle4032.txt_q0,high_disagreement,5.0,MIDDLE,hard,False,0,0.0
high18392.txt_q0,high_disagreement,4.0,HIGH,ambiguous,False,0,0.0
middle1155.txt_q1,high_disagreement,3.0,MIDDLE,hard,True,0,0.0
middle6261.txt_q2,high_disagreement,5.0,MIDDLE,hard,False,0,0.0
high18210.txt_q2,high_disagreement,3.5,HIGH,easy,,1,1.0
middle3554.txt_q1,high_disagreement,3.0,MIDDLE,hard,True,0,0.0
high7780.txt_q2,high_disagreement,4.0,HIGH,easy,False,0,1.0
middle7443.txt_q1,high_disagreement,3.0,MIDDLE,hard,True,0,0.0
high10154.txt_q2,high_disagreement,3.0,HIGH,hard,False,0,0.0
middle7094.txt_q2,high_disagreement,5.0,MIDDLE,hard,False,0,0.0
middle4899.txt_q3,high_disagreement,5.0,MIDDLE,hard,False,0,0.0
middle1097.txt_q2,high_disagreement,5.0,MIDDLE,hard,False,0,0.0
middle3775.txt_q2,high_disagreement,5.0,MIDDLE,hard,False,0,0.0
middle1155.txt_q2,high_disagreement,3.0,MIDDLE,hard,True,0,0.0
middle364.txt_q2,high_disagreement,3.0,MIDDLE,hard,True,0,0.0
high169.txt_q3,high_disagreement,3.0,HIGH,hard,False,0,0.0
middle7646.txt_q1,high_disagreement,3.0,MIDDLE,hard,True,0,0.0
middle1989.txt_q1,high_disagreement,3.0,MIDDLE,hard,True,0,0.0
middle163.txt_q4,high_disagreement,5.0,MIDDLE,hard,False,0,0.0
middle5625.txt_q1,high_disagreement,5.0,MIDDLE,hard,False,0,0.0
middle6875.txt_q0,high_disagreement,5.0,MIDDLE,hard,False,0,0.0
high1481.txt_q2,high_disagreement,3.0,HIGH,hard,False,0,0.0
high18736.txt_q2,high_disagreement,3.0,HIGH,hard,False,0,0.0
middle2887.txt_q3,high_disagreement,5.0,MIDDLE,hard,False,0,0.0
high20202.txt_q2,high_disagreement,3.0,HIGH,hard,False,0,0.0
middle1097.txt_q4,low_disagreement,0.0,MIDDLE,easy,True,0,1.0
middle4988.txt_q3,low_disagreement,0.0,MIDDLE,middle,True,0,1.0
high5222.txt_q1,low_disagreement,0.0,HIGH,middle,True,0,1.0
high22615.txt_q1,low_disagreement,0.0,HIGH,middle,True,0,1.0
middle487.txt_q1,low_disagreement,0.0,MIDDLE,easy,True,0,1.0
high7524.txt_q1,low_disagreement,0.0,HIGH,middle,True,0,1.0
high11521.txt_q4,low_disagreement,0.0,HIGH,middle,True,0,1.0
high667.txt_q1,low_disagreement,0.0,HIGH,middle,True,0,1.0
high21364.txt_q1,low_disagreement,0.0,HIGH,middle,True,0,1.0
middle6992.txt_q1,low_disagreement,0.0,MIDDLE,easy,True,0,1.0
middle641.txt_q0,low_disagreement,0.0,MIDDLE,easy,True,0,1.0
high3507.txt_q2,low_disagreement,0.0,HIGH,middle,True,0,1.0
high14910.txt_q1,low_disagreement,0.0,HIGH,middle,True,0,1.0
middle1132.txt_q1,low_disagreement,0.0,MIDDLE,easy,True,0,1.0
middle1957.txt_q3,low_disagreement,0.0,MIDDLE,easy,True,0,1.0
middle435.txt_q0,low_disagreement,0.0,MIDDLE,middle,True,0,1.0
middle4527.txt_q1,low_disagreement,0.0,MIDDLE,middle,True,0,1.0
middle2074.txt_q2,low_disagreement,0.0,MIDDLE,easy,True,0,1.0
high14500.txt_q0,low_disagreement,0.0,HIGH,middle,True,0,1.0
middle8201.txt_q2,low_disagreement,0.0,MIDDLE,middle,True,0,1.0
middle2473.txt_q1,low_disagreement,0.0,MIDDLE,middle,True,0,1.0
middle8161.txt_q4,low_disagreement,0.0,MIDDLE,easy,True,0,1.0
middle7284.txt_q1,low_disagreement,0.0,MIDDLE,middle,True,0,1.0
high9737.txt_q2,low_disagreement,0.0,HIGH,middle,True,0,1.0
high19218.txt_q1,low_disagreement,0.0,HIGH,middle,True,0,1.0
middle2662.txt_q0,low_disagreement,0.0,MIDDLE,middle,True,0,1.0
high20820.txt_q1,low_disagreement,0.0,HIGH,middle,True,0,1.0
high24267.txt_q1,low_disagreement,0.0,HIGH,middle,True,0,1.0
middle2612.txt_q0,low_disagreement,0.0,MIDDLE,easy,True,0,1.0
high10775.txt_q0,low_disagreement,0.0,HIGH,middle,True,0,1.0
