question_id,n_attempts,human_correct_rate,human_bucket,designer_difficulty_str,datamap_region,llm_correct,llm_no_consensus
high10532.txt_q2,30,0.16666666666666666,hard,HIGH,hard,False,0
high10687.txt_q1,30,0.1,hard,HIGH,hard,True,0
high1069.txt_q2,30,0.5333333333333333,mid,HIGH,easy,True,0
high10775.txt_q0,30,0.3,hard,HIGH,middle,True,0
high10788.txt_q2,30,0.6,mid,HIGH,easy,True,0
high10902.txt_q0,30,0.26666666666666666,hard,HIGH,ambiguous,True,0
high11109.txt_q0,30,0.36666666666666664,hard,HIGH,middle,True,0
high1111.txt_q3,30,0.1,hard,HIGH,hard,False,0
high11279.txt_q0,30,0.8,easy,HIGH,easy,True,0
high11327.txt_q0,30,0.23333333333333334,hard,HIGH,ambiguous,True,0
high11515.txt_q0,30,0.43333333333333335,mid,HIGH,middle,True,0
high11515.txt_q2,30,0.23333333333333334,hard,HIGH,ambiguous,True,0
high11552.txt_q1,30,0.1,hard,HIGH,hard,True,0
high11688.txt_q0,30,0.4,hard,HIGH,middle,True,0
high11731.txt_q2,30,0.6333333333333333,mid,HIGH,easy,True,0
high11742.txt_q1,30,0.6333333333333333,mid,HIGH,easy,True,0
high11774.txt_q2,30,0.1,hard,HIGH,hard,False,0
high11882.txt_q2,30,0.4,hard,HIGH,middle,True,0
high11964.txt_q0,30,0.13333333333333333,hard,HIGH,hard,True,0
high12016.txt_q2,30,0.4666666666666667,mid,HIGH,middle,True,0
high1227.txt_q3,30,0.7,mid,HIGH,easy,True,0
high12494.txt_q3,30,0.7,mid,HIGH,easy,True,0
high12723.txt_q3,30,0.36666666666666664,hard,HIGH,middle,True,0
high12768.txt_q1,30,0.43333333333333335,mid,HIGH,middle,True,0
high12824.txt_q1,30,0.6666666666666666,mid,HIGH,easy,True,0
high13095.txt_q1,30,0.6333333333333333,mid,HIGH,easy,True,0
high13220.txt_q0,30,0.16666666666666666,hard,HIGH,hard,True,0
high1335.txt_q1,30,0.4,hard,HIGH,middle,True,0
high13577.txt_q2,30,0.13333333333333333,hard,HIGH,hard,True,0
high13702.txt_q0,30,0.4666666666666667,mid,HIGH,middle,True,0
high13704.txt_q1,30,0.6666666666666666,mid,HIGH,easy,True,0
high14235.txt_q3,30,0.6333333333333333,mid,HIGH,easy,True,0
high14272.txt_q0,30,0.26666666666666666,hard,HIGH,middle,True,0
high14520.txt_q1,30,0.5666666666666667,mid,HIGH,middle,True,0
high14807.txt_q0,30,0.6666666666666666,mid,HIGH,easy,True,0
high14855.txt_q1,30,0.23333333333333334,hard,HIGH,ambiguous,True,0
high15018.txt_q0,30,0.4666666666666667,mid,HIGH,middle,True,0
high15182.txt_q0,30,0.13333333333333333,hard,HIGH,hard,True,0
high15194.txt_q1,30,0.26666666666666666,hard,HIGH,ambiguous,,1
high15231.txt_q0,30,0.7666666666666667,mid,HIGH,easy,True,0
high15347.txt_q0,30,0.23333333333333334,hard,HIGH,hard,True,0
high15404.txt_q0,30,0.3333333333333333,hard,HIGH,ambiguous,True,0
high15409.txt_q1,30,0.26666666666666666,hard,HIGH,ambiguous,False,0
high15443.txt_q1,30,0.6333333333333333,mid,HIGH,easy,True,0
high15443.txt_q3,30,0.6666666666666666,mid,HIGH,easy,True,0
high15447.txt_q3,30,0.23333333333333334,hard,HIGH,hard,True,0
high15661.txt_q3,30,0.23333333333333334,hard,HIGH,ambiguous,True,0
high16082.txt_q0,30,0.23333333333333334,hard,HIGH,ambiguous,True,0
high16116.txt_q0,30,0.43333333333333335,mid,HIGH,middle,True,0
high16138.txt_q1,30,0.7,mid,HIGH,easy,True,0
high16148.txt_q3,30,0.3,hard,HIGH,middle,True,0
high16235.txt_q2,30,0.23333333333333334,hard,HIGH,ambiguous,True,0
high16467.txt_q1,30,0.3333333333333333,hard,HIGH,middle,True,0
high16599.txt_q2,30,0.7,mid,HIGH,easy,True,0
high16636.txt_q2,30,0.03333333333333333,hard,HIGH,hard,True,0
high16715.txt_q3,30,0.4666666666666667,mid,HIGH,ambiguous,True,0
high16853.txt_q1,30,0.4666666666666667,mid,HIGH,middle,True,0
high17102.txt_q0,30,0.13333333333333333,hard,HIGH,hard,True,0
high17238.txt_q0,30,0.06666666666666667,hard,HIGH,hard,True,0
high17265.txt_q0,30,0.2,hard,HIGH,hard,True,0
high17417.txt_q2,30,0.26666666666666666,hard,HIGH,middle,True,0
high17431.txt_q0,30,0.13333333333333333,hard,HIGH,hard,True,0
high17568.txt_q1,30,0.26666666666666666,hard,HIGH,ambiguous,True,0
high17588.txt_q0,30,0.4,hard,HIGH,ambiguous,True,0
high17860.txt_q1,30,0.16666666666666666,hard,HIGH,ambiguous,True,0
high17933.txt_q3,30,0.6333333333333333,mid,HIGH,easy,True,0
high18012.txt_q1,30,0.5666666666666667,mid,HIGH,ambiguous,True,0
