blind_item_id,passage,question,option_A,option_B,option_C,option_D,rater_answer,answer_confidence,evidence_demand,cannot_judge,optional_stage1_note,official_answer_key,key_problem,stem_problem,distractor_problem,evidence_problem,optional_stage2_note
A001,"Since we are social beings, the quality of our lives depends in large measure on our interpersonal  relationships. One strength of the human condition is our possibility to give and receive support from one another under stressful conditions. Social support makes up of the exchange of resources among people based on their interpersonal ties. Those of us with strong support systems appear better able to deal with major life changes and daily problems. People with strong social ties live longer and have better health than those without such ties. Studies over types of illnesses, from depression to heart disease, show that the presence of social support helps people defend themselves against illness, and the absence of such support makes poor health more likely.
Social support cushions  stress in a number of ways. First, friends, relatives and co-workers may let us know that they value us. Our self-respect is strengthened when we feel accepted by others in spite of our faults and difficulties. Second, other people often provide us with informational support. They help us to define and understand our problems and find solutions to them. Third, we typically find social companionship supportive. Taking part in free-time activities with others helps us to meet our social needs while at the same time distracting   us from our worries and troubles. Finally, other people may give us instrumental support money aid, material resources, and needed services - that reduces stress by helping us resolve and deal with our problems.",Interpersonal relationships are important because they can   _,make people live more easily,smooth away daily problems,deal with life changes,cure types of illnesses,A,4,1,0,,A,0,0,0,0,
A002,"Different Kinds of Birds
Avocets
There are 4 different species of Avocet found around the world-Pied Avocet , Red-necked Avocet, Andean Avocet, and American Avocet. This bird is found in North and South America, Europe, and even Australia. This long-legged bird has webbed feet and an upturned, thin bill.
Bald Eagles
The bald eagle is found in wetlands and near coastlines. They have very large and broad wings, with a broad tail. The head and tail are white in color, which is the major distinguishable factor of the bald eagle. The long, hooked bill is yellow in color. They feed on fish, ducks, rabbits, geese, etc.
Eastern Bluebirds
These are around 61/2 inches in length .Such birds are found mainly in gardens woodlands, and orchards with the arrival of spring. Male Eastern Bluebirds are bright blue on the upper half and have a white belly. Female Eastern Bluebirds have a grayish head with shades of blue as well. New York and Missouri have named this creature as their state bird.
Flamingos
These pink-bodied birds with a unique beak, are generally found in large groups. The beaks are capable of removing mud before they can eat their food. Flamingos can be found in many African countries, areas of Florida, and one particular type of species is found only in the Andean highlands.
Kingfishers
There are over 90 various species of Kingfishers found in the woodland areas as well as wetlands across the world. They are excellent divers when it comes to catching fish in the rivers. Their pointed bills are what help them bag the catch. Kingfishers have good eyesight whether they are in air or underwater.",Birds that can be found only in the Andean highlands are   _  .,Bald Eagles,Female Eastern Bluebirds,Andean Avocets,one special type of Flamingos,D,3,2,0,,D,0,0,0,0,
A003,"One year, my school report made my parents angry. On Christmas Eve, all the presents were stolen, along with our TV. My parents told me that there were no presents because Santa was very angry with my behavior over the past year. The next year on Christmas Eve I slept downstairs with a plastic sword waiting for Santa to make sure that he didn't steal the new TV. The next morning, when I woke up, I saw Santa standing there. As soon as I saw that there were no presents, I grabbed my plastic sword and ran at him, shouting angrily: ""THIEF! THIEF!""
Jack
When I was young, we always had a specific room for the Christmas tree. My mom never really liked the location, so one year she moved the tree into another room. I was convinced that Santa would not know where the tree was and would get lost in our house. I was worried that he would be mad and put me on the ""bad"" list and would not give me any gifts because he couldn't find the tree. I came up with the idea to make signs leading from the fireplace to the tree. They said things like: ""Tree this way"" or ""Santa, put the gifts over here."" When my big brother saw them he began to laugh his head off.
Lucy
Does everyone remember going to the mall and sitting on Santa's lap to have his picture taken at Christmas time?
Well, I used to think that if I did that, Santa would get mad bcause he would have to go all around the world and give every kid the chance to have his picture taken with him. Of course his lap would hurt and he would be very fired. I thought he might keep a copy of the picture and that would be how he decided who would be on his naughty list.
My mom couldn't get me onto Santa's lap until she made him promise I wouldn't end up on his naughty list.
Lydia",Why didn't Lydia want to take pictures with Santa?,She was afraid that Santa would get mad with her.,She was afraid that Santa would get too tired and hurt himself.,She disliked the idea that Santa would keep a copy of her picture.,She feared that she would appear in the Santa's naughty list.,D,2,2,0,,D,1,0,0,0,"I can build a reading for C too, not just the key."
A004,"According to the most recent count, more than 6,500 homeless people sleep on the street or in shelters in San Francisco, and there are only eight shower facilities  specifically available to the homeless, and most of these have just one or two stalls and aren't open every day. Now San Francisco-based company Lava Mae, is trying to change that with a simple but smart idea--turning retired city buses into mobile showers for the homeless. The idea known as Lava Mae, is a response to the need of the homeless in the city.
It all started two years ago when Sandoval got in a cab after a meeting in the SoMa district of San Francisco, where the homeless mainly lived. ""My driver turned around and said, 'Welcome to the land of broken dreams.' "" Then Sandoval awoke from her imagination and started really look at the people around her. "" A woman I passed was crying and saying that she would never be clean"", Sandoval said. She took what the woman said as a sign that she should focus on the problem of hygiene , one of the most pressing needs for the homeless. 
After doing some research, Sandoval hit on the idea of a mobile unit that could be equipped with shower facilities. According to the company's founder Doniece Sandoval, every bus will be renewed and equipped with two separate private areas, each with a shower stall, sink, changing areas, toilet and bench. Sandoval says that if everyone sticks to a five-minute shower, a single Lava Mae bus could provide service for about 100 people during each 8- to 10-hour shift. 
The project has been several years in the making as it has not been easy to get officials to agree. In addition, it is also difficult to ask the bus company to donate buses. Now she has reached an agreement with a bus company, which will donate the buses being retired in the next four years. 
While Lava Mae is now focused on the city of San Francisco, there is no reason that the idea cannot be spread all over the world.",What is TRUE about the project of Lava Mae?,A single Lava Mae bus could provide service for 100 people at a time.,The project has met a lot of difficulties.,The officials strongly support the project.,The idea of Lava Mae will not be spread all over the world.,B,3,4,0,,B,1,1,0,0,"I can build a reading for A too, not just the key."
A005,"Coffee grows only in the tropics . The temperature must be between 65 and 70 degrees Fahrenheit. Coffee must have shade from nearby trees, but it also requires at least two hours of sunlight each day.
It was in the 18thand 19thcenturies that coffee seeds from the Middle East were taken to Latin America, the Carribean, and Africa. It spread fast, with demand for the coffee growing in the northern part of the world. Millions of acres of rainforest and jungle were planted with coffee trees. Because of coffee's need for shade and its ability to be grown alongside other crops, the small coffee trees didn't require any forests to be cleared.
But this took a bad turn in 1970 when US agricultural scientists decided to develop a new coffee plant that grew only in the full sun. Farmer agreed to grow this new coffee because they could produce five times more coffee than before. With the support of local governments, it isn't difficult to understand why many traditional coffee fields quickly became modern ones. As a result, over the past 40 years, Central America has lost two-thirds of its rainforests at a rate of 40 million acres per year. That figure is similar to Mexico.
These modern coffee plantations  are very harmful as nothing can grow in the fields besides the coffee bushes. As the rainforests disappear, so do the animals. Sun plantations also contribute to soil erosion . The coffee trees must face not only the heat with no protection, they must also face heavy rains, which slowly washes much of the soil away. Sun coffee field are actually risky for farmers in the long term.",Which of the following places has the longest coffee-planting history?,Latin America,The Carribean,Africa,The Middle East,D,3,3,0,,D,0,0,0,0,
A006,"A nameless British millionaire is currently putting people to the test by handing out PS1,000 to those he randomly meets in the street.All he'd ask is that they'd do something positive with the cash.The reactions are varied,from the surprised to the suspicious to the simply delighted.He has given away close to PS100,000 to people he has met around the world.He hands those that he chooses a card explaining his project and allows them 48 hours to get in touch.
""Mr.Lucky"" is from London,in his late thirties and appears wearing rolled-up jeans and with a camera around his neck.Working for an insurance company abroad,he earned his fortune and resigned last year after having realized he had more money than he knew what to do with.
""I once booked myself a flight into space;I thought I'd fulfill my childhood dream.Then I told my friends and when the conversation changed to what they would do if they had that amount of money,I felt embarrassed.Their ideas were much more generous,interesting and responsible than mine,"" said Mr.Lucky.After canceling his space flight and struggling to choose a worthy cause for his cash,he decided to set up the WeAreLucky project.""I didn't want to just pass on my luck;I also wanted to share the responsibility.I decided to give away PS1,000 every day.I'd asked the receivers to fill in a brief questionnaire to explain their intentions in using the money.""
But is handing over the responsibility to others really a responsible thing to do? How does he know the money will be used properly? ""I'm not going to judge or start checking up on them.Sometimes what we need to do is just believing others,"" he said with nearly childlike enthusiasm.",Why did Mr.Lucky hand out his money?,He was easy-going and rich.,He wanted to help the poor.,He believed people could use it properly.,He needed people to share his responsibility.,C,2,1,0,,C,1,0,0,0,Passage supports D about as well as the key; I'd call this a toss-up.
A007,"I hated dinner parties. But I decided to give them another _ because I'm in London. And my friend Mallery invited me. And because dinner parties in London are very different from those back in New York. There, ""I'm having a dinner party"" means ""I'm booking a table for 12 at a restaurant you can't afford and we'll be sharing the cheque evenly, no matter what you eat.""
Worse, in Manhattan there is always someone who leaves before the bill arrives. They'll throw down cash, half of what they owe, and then people like me, who don't drink, end up paying even more. But if I try to use the same trick, the hostess will shout ""Where are you going?"" And it's not like I can say I have somewhere to go : everyone knows I have nowhere to go.
But in London, dinner parties are in people's homes. Not only that, the guests are an interesting mix. The last time I went to one, the guests were from France, India, Denmark and Nigeria; it was like a gathering at the United Nations. In New York, the mix is less striking. It's like a gathering at Bloomingdale's, a well-known department store.
For New Yorkers, talking about other parts of the world means Brooklyn and Queens in New York. But at Mallery's, when I said that I had been to Myanmar recently, people knew where it was. In New York people would think it was a usual new club.",What does the author dislike most about dinner parties in New York?,There is a strange mix of people.,The restaurant are expensive.,The bill is not fairly shared.,People have to pay cash.,C,2,3,0,,C,0,0,0,1,Passage doesn't quite give what's needed for the key without a leap.
A008,"Well-known Chinese writer, literary translator and foreign literature researcher Yang Jiang died at the age of 105 in Beijing on 25 May, 2016.
Yang, the wife of late Chinese novelist Qian Zhongshu, enjoyed decades of fame across the country for her literature works such as Six Chapters from My Life""Downunder""(1981), Baptism(1988), and We Three(2004), which recalls her husband and her daughter Qian Yuan(1937-1997) who died of cancer one year before her father's death. Her translation of the Spanish novel Don Quixote de la Mancha<<>>  is widely considered the best Chinese version so far. 
Yang Jiang, whose original name was Yang Jikang, was born in Beijing and grew up in Suzhou, East China's Jiangsu province. She got her master's degree in foreign languages and literature at Tsinghua University, where she met her husband Qian Zhongshu, whose later work, the satirical novel Fortress Besieged <<>>  is famous around the world. The couple married in 1935 and during 1935 to 1938, they went to Oxford University for further study. They returned to China in 1938 and both of them went into academia   and made important contributions to the development of Chinese culture. Yang and Qian were known for having the perfect love story in Chinese literary circles. Qian once commented that Yang was ""the most virtuous wife and most talented lady"". Apart from her own achievements in literature, she made a great contribution to Qian's works after his death. More than 70,000 letters and drafts by her husband were collected by her for the publication Qian Zhongshu's Manuscript Collection in 2003. 
Yang loved reading and encouraged the younger generation to read more books. She donated millions of yuan that she earned through sales of her works to Tsinghua University and set up the ""Love Reading"" scholarship in the name of her family after her husband and daughter passed away.",What's the best title of this passage?,Yang Jiang's works.,Young people should read more books.,Yang Jiang and her husband.,"Yang Jiang, Chinese writer died at 105.",D,3,2,0,,D,0,0,0,0,
A009,"Can you imagine a world without chocolate? It's not something I'd like to do, so I was relieved to read that there's a university with a programme to safeguard the future of chocolate!
The University of Reading, in England, has just opened a new clearing house for all the world's new cocoa varieties. They must be quarantined   before they can be grown. Why? Cocoa production hit a record high of 4.4 million tons last year but about 30% of the precious crop is regularly lost to pests and diseases. Now we don't want that, do we?
Demand for chocolate has been increasing faster than the world supply of cocoa and researchers think that new varieties are key to solving this problem.
The University of Reading has been protecting the quality of the new crop since 1985, after it took over the task from the Royal Botanical Gardens in Kew, London. And it has improved its facilities. The leader of the institution's cocoa project, Professor Paul Hadley, says, ""One of the main issues concerning cocoa improvement is the supply of reliably clean, healthy, interesting cocoa material.""
The cocoa centre has a collection of 400 plant varieties and their greenhouse uses a lot of energy to keep them in tropical conditions. After up to two years in quarantine, clean and safe seeds are sent to some 20 countries, including several in West Africa. That's where 75% of the cocoa used for chocolate worldwide comes from. The crop is extremely important for the local economy: it employs about two million people.
Professor Paul Hadley says he works with a small team of skilled technicians who look after the collection. And more of us seem to count on them now.
The scientist says, ""There is some concern within the industry that demand is increasing constantly, particularly in countries like China, where the standard of living is increasing and people are getting a taste for different chocolates.""",The institution's cocoa project is to   _  .,have cocoa skin removed,offer more jobs to people,ensure the quality of cocoa,supply cocoa to two million people,C,3,2,0,,C,0,0,0,0,
A010,"Before a new type airplane goes service, every part of it is tested again and again. But there are two tests that are more of into important than the others.
The first is called the ""tank test"". A modern airplane must fly very high in the sky. Air must be pumped into the plane so that the passengers can breathe. The metal structure of the plane has to be very strong for this reason. When the plane is filled with air, the air presses against the skin of the plane inside. The pressure on a small window is like a huge foot that is trying to get out. If a small part of the plane were to fail, the plane would explode in the sky. To test the structure of the plane, the plane is lowered into a huge tank or container of water. Then it is filled with air. The pressure inside the plane is greater than it ever will be when it is high up in the air. Finally, there is an explosion. This does not cause so much damage inside the water tank as it would anywhere else. Engineers can discover which part of the plane has broken. Then that part is made stronger.
The most dangerous test happens when the new plane is going through test flights in the air. The test must find out exactly what happens when the engines  are all shut off at once. The plane begins to fall like a stone. It is the pilot's job to find out how he can get control of the plane again. These two tests are examples of how planes are made safe before they ever carry passengers.",What might be the most suitable title for the text?,Two Important Tests on Airplane,The Importance of Flying Safety,The Danger of Testing Airplanes,How Airplanes Are made and Tested,A,1,2,0,,A,0,0,0,0,
