token,path,class_guess,count
300,scripts/Eedi_human_difficulty_analysis.py,code,2
850,scripts/Eedi_human_difficulty_analysis.py,code,1
300,scripts/RACE_analyze_views_with_datamap.py,code,4
300,scripts/RACE_prepare_and_designer_stats.py,code,1
5000,scripts/RACE_train_bert_models_trainer.py,code,2
300,scripts/RACE_train_bert_models_trainer.py,code,1
1800,scripts/revision/e0_build_integrated_table.py,code,1
5000,scripts/revision/e10_expand_machine_students.py,code,1
1200,scripts/revision/e10_expand_machine_students.py,code,1
1800,scripts/revision/e11_paper1_llm_vs_human_items.py,code,2
400,scripts/revision/e11_paper1_llm_vs_human_items.py,code,2
300,scripts/revision/e1_mc_smoke.py,code,1
300,scripts/revision/e1_raw_full_smoke.py,code,1
300,scripts/revision/e1_smoke_learn.py,code,1
400,scripts/revision/e1_smoke_learn.py,code,2
400,scripts/revision/e1_smoke_trainer_fix.py,code,2
5000,scripts/revision/e1_train_custom.py,code,1
5000,scripts/revision/e1_train_mc.py,code,1
5000,scripts/revision/e3_human_machine_bridge.py,code,1
300,scripts/revision/e8_run_ollama_pilot.py,code,1
5000,scripts/revision/monitor_and_drive.py,code,1
5000,scripts/revision/watch_e1_then_rebuild.py,code,1
1800,scripts/revision/zero_idle_orchestrator.py,code,1
400,scripts/revision/_patch_manuscript_full.py,code,1
62.3,scripts/revision/_patch_manuscript_full.py,code,3
75.1,scripts/revision/_patch_manuscript_full.py,code,3
78.5,scripts/revision/_patch_manuscript_full.py,code,3
88.2,scripts/revision/_patch_manuscript_full.py,code,3
400,scripts/revision/_smoke_gpt_ak.py,code,1
1640,revision/artifacts/eedi_attempt_distribution_raw.csv,artifact_or_table,1
1300,revision/artifacts/eedi_attempt_distribution_raw.csv,artifact_or_table,1
750,revision/artifacts/eedi_attempt_distribution_raw.csv,artifact_or_table,9
1150,revision/artifacts/eedi_attempt_distribution_raw.csv,artifact_or_table,3
780,revision/artifacts/eedi_attempt_distribution_raw.csv,artifact_or_table,15
300,revision/artifacts/eedi_attempt_distribution_raw.csv,artifact_or_table,19
270,revision/artifacts/eedi_attempt_distribution_raw.csv,artifact_or_table,17
520,revision/artifacts/eedi_attempt_distribution_raw.csv,artifact_or_table,20
450,revision/artifacts/eedi_attempt_distribution_raw.csv,artifact_or_table,15
400,revision/artifacts/eedi_attempt_distribution_raw.csv,artifact_or_table,13
850,revision/artifacts/eedi_attempt_distribution_raw.csv,artifact_or_table,9
2050,revision/artifacts/eedi_attempt_distribution_raw.csv,artifact_or_table,3
3360,revision/artifacts/eedi_difficulty_min30_main.csv,artifact_or_table,2
1640,revision/artifacts/eedi_difficulty_min30_main.csv,artifact_or_table,1
1800,revision/artifacts/eedi_difficulty_min30_main.csv,artifact_or_table,2
1300,revision/artifacts/eedi_difficulty_min30_main.csv,artifact_or_table,4
750,revision/artifacts/eedi_difficulty_min30_main.csv,artifact_or_table,23
1150,revision/artifacts/eedi_difficulty_min30_main.csv,artifact_or_table,4
780,revision/artifacts/eedi_difficulty_min30_main.csv,artifact_or_table,30
300,revision/artifacts/eedi_difficulty_min30_main.csv,artifact_or_table,35
270,revision/artifacts/eedi_difficulty_min30_main.csv,artifact_or_table,31
520,revision/artifacts/eedi_difficulty_min30_main.csv,artifact_or_table,29
450,revision/artifacts/eedi_difficulty_min30_main.csv,artifact_or_table,28
400,revision/artifacts/eedi_difficulty_min30_main.csv,artifact_or_table,26
850,revision/artifacts/eedi_difficulty_min30_main.csv,artifact_or_table,17
1200,revision/artifacts/eedi_difficulty_min30_main.csv,artifact_or_table,1
2050,revision/artifacts/eedi_difficulty_min30_main.csv,artifact_or_table,5
3360,revision/artifacts/eedi_irt_b_proxy.csv,artifact_or_table,3
1640,revision/artifacts/eedi_irt_b_proxy.csv,artifact_or_table,1
1800,revision/artifacts/eedi_irt_b_proxy.csv,artifact_or_table,2
1300,revision/artifacts/eedi_irt_b_proxy.csv,artifact_or_table,7
750,revision/artifacts/eedi_irt_b_proxy.csv,artifact_or_table,34
1150,revision/artifacts/eedi_irt_b_proxy.csv,artifact_or_table,3
780,revision/artifacts/eedi_irt_b_proxy.csv,artifact_or_table,41
300,revision/artifacts/eedi_irt_b_proxy.csv,artifact_or_table,47
270,revision/artifacts/eedi_irt_b_proxy.csv,artifact_or_table,42
520,revision/artifacts/eedi_irt_b_proxy.csv,artifact_or_table,50
450,revision/artifacts/eedi_irt_b_proxy.csv,artifact_or_table,38
400,revision/artifacts/eedi_irt_b_proxy.csv,artifact_or_table,36
850,revision/artifacts/eedi_irt_b_proxy.csv,artifact_or_table,32
1200,revision/artifacts/eedi_irt_b_proxy.csv,artifact_or_table,2
2050,revision/artifacts/eedi_irt_b_proxy.csv,artifact_or_table,4
1640,revision/artifacts/llm_vote_val.csv,artifact_or_table,6
750,revision/artifacts/llm_vote_val.csv,artifact_or_table,10
1150,revision/artifacts/llm_vote_val.csv,artifact_or_table,7
780,revision/artifacts/llm_vote_val.csv,artifact_or_table,20
300,revision/artifacts/llm_vote_val.csv,artifact_or_table,15
270,revision/artifacts/llm_vote_val.csv,artifact_or_table,8
520,revision/artifacts/llm_vote_val.csv,artifact_or_table,25
450,revision/artifacts/llm_vote_val.csv,artifact_or_table,16
400,revision/artifacts/llm_vote_val.csv,artifact_or_table,13
850,revision/artifacts/llm_vote_val.csv,artifact_or_table,8
1200,revision/artifacts/llm_vote_val.csv,artifact_or_table,3
2050,revision/artifacts/llm_vote_val.csv,artifact_or_table,4
1640,revision/artifacts/val_token_lengths.csv,artifact_or_table,6
750,revision/artifacts/val_token_lengths.csv,artifact_or_table,11
1150,revision/artifacts/val_token_lengths.csv,artifact_or_table,7
780,revision/artifacts/val_token_lengths.csv,artifact_or_table,20
300,revision/artifacts/val_token_lengths.csv,artifact_or_table,21
270,revision/artifacts/val_token_lengths.csv,artifact_or_table,13
520,revision/artifacts/val_token_lengths.csv,artifact_or_table,43
450,revision/artifacts/val_token_lengths.csv,artifact_or_table,38
400,revision/artifacts/val_token_lengths.csv,artifact_or_table,25
850,revision/artifacts/val_token_lengths.csv,artifact_or_table,8
1200,revision/artifacts/val_token_lengths.csv,artifact_or_table,3
2050,revision/artifacts/val_token_lengths.csv,artifact_or_table,4
780,revision/audit/e6_arm_key_HIDDEN.csv,artifact_or_table,1
450,revision/audit/e6_arm_key_HIDDEN.csv,artifact_or_table,1
780,revision/audit/e6_blind_items_for_raters.csv,artifact_or_table,1
450,revision/audit/e6_blind_items_for_raters.csv,artifact_or_table,1
850,revision/audit/e6_blind_items_for_raters.csv,artifact_or_table,1
780,revision/audit/e6_ratings.csv,artifact_or_table,2
450,revision/audit/e6_ratings.csv,artifact_or_table,2
780,revision/audit/e6_ratings_R1.csv,artifact_or_table,1
450,revision/audit/e6_ratings_R1.csv,artifact_or_table,1
780,revision/audit/e6_ratings_R2.csv,artifact_or_table,1
450,revision/audit/e6_ratings_R2.csv,artifact_or_table,1
780,revision/audit/e6_ratings_TEMPLATE.csv,artifact_or_table,1
450,revision/audit/e6_ratings_TEMPLATE.csv,artifact_or_table,1
5000,revision/bridge/bridge_eedi_items_with_human_labels.csv,artifact_or_table,4
3360,revision/bridge/bridge_eedi_items_with_human_labels.csv,artifact_or_table,42
1640,revision/bridge/bridge_eedi_items_with_human_labels.csv,artifact_or_table,55
1800,revision/bridge/bridge_eedi_items_with_human_labels.csv,artifact_or_table,48
1300,revision/bridge/bridge_eedi_items_with_human_labels.csv,artifact_or_table,82
750,revision/bridge/bridge_eedi_items_with_human_labels.csv,artifact_or_table,377
1150,revision/bridge/bridge_eedi_items_with_human_labels.csv,artifact_or_table,80
1530,revision/bridge/bridge_eedi_items_with_human_labels.csv,artifact_or_table,71
780,revision/bridge/bridge_eedi_items_with_human_labels.csv,artifact_or_table,689
300,revision/bridge/bridge_eedi_items_with_human_labels.csv,artifact_or_table,601
270,revision/bridge/bridge_eedi_items_with_human_labels.csv,artifact_or_table,822
520,revision/bridge/bridge_eedi_items_with_human_labels.csv,artifact_or_table,555
450,revision/bridge/bridge_eedi_items_with_human_labels.csv,artifact_or_table,837
400,revision/bridge/bridge_eedi_items_with_human_labels.csv,artifact_or_table,408
850,revision/bridge/bridge_eedi_items_with_human_labels.csv,artifact_or_table,618
1200,revision/bridge/bridge_eedi_items_with_human_labels.csv,artifact_or_table,28
2050,revision/bridge/bridge_eedi_items_with_human_labels.csv,artifact_or_table,41
780,revision/bridge/bridge_race_human_rates.csv,artifact_or_table,3
270,revision/bridge/bridge_race_human_rates.csv,artifact_or_table,1
520,revision/bridge/bridge_race_human_rates.csv,artifact_or_table,4
450,revision/bridge/bridge_race_human_rates.csv,artifact_or_table,2
5000,revision/bridge/bridge_race_items.csv,artifact_or_table,1
1800,revision/bridge/bridge_race_items.csv,artifact_or_table,1
780,revision/bridge/bridge_race_items.csv,artifact_or_table,3
300,revision/bridge/bridge_race_items.csv,artifact_or_table,7
270,revision/bridge/bridge_race_items.csv,artifact_or_table,1
520,revision/bridge/bridge_race_items.csv,artifact_or_table,5
450,revision/bridge/bridge_race_items.csv,artifact_or_table,2
400,revision/bridge/bridge_race_items.csv,artifact_or_table,3
2050,revision/bridge/bridge_race_items.csv,artifact_or_table,2
780,revision/bridge/bridge_race_responses.csv,artifact_or_table,90
270,revision/bridge/bridge_race_responses.csv,artifact_or_table,30
520,revision/bridge/bridge_race_responses.csv,artifact_or_table,120
450,revision/bridge/bridge_race_responses.csv,artifact_or_table,60
1640,revision/efficacy/e7_true_difficulty_proxy.csv,artifact_or_table,6
750,revision/efficacy/e7_true_difficulty_proxy.csv,artifact_or_table,10
1150,revision/efficacy/e7_true_difficulty_proxy.csv,artifact_or_table,7
780,revision/efficacy/e7_true_difficulty_proxy.csv,artifact_or_table,20
300,revision/efficacy/e7_true_difficulty_proxy.csv,artifact_or_table,15
270,revision/efficacy/e7_true_difficulty_proxy.csv,artifact_or_table,8
520,revision/efficacy/e7_true_difficulty_proxy.csv,artifact_or_table,25
450,revision/efficacy/e7_true_difficulty_proxy.csv,artifact_or_table,16
400,revision/efficacy/e7_true_difficulty_proxy.csv,artifact_or_table,13
850,revision/efficacy/e7_true_difficulty_proxy.csv,artifact_or_table,8
