question_id,consensus_status,consensus_option,llm_correct,n_votes,designer_difficulty_str,datamap_region
high10024.txt_q0,consensus,B,1,3,HIGH,easy
high10024.txt_q1,consensus,A,1,3,HIGH,middle
high10024.txt_q2,consensus,D,1,3,HIGH,middle
high10042.txt_q0,consensus,C,1,3,HIGH,easy
high10042.txt_q1,consensus,A,1,3,HIGH,middle
high10042.txt_q2,consensus,D,1,3,HIGH,middle
high10042.txt_q3,consensus,A,1,3,HIGH,middle
high10042.txt_q4,consensus,B,1,3,HIGH,easy
high10060.txt_q0,consensus,A,1,3,HIGH,easy
high10060.txt_q1,consensus,A,1,3,HIGH,easy
high10060.txt_q2,consensus,D,1,3,HIGH,ambiguous
high10112.txt_q0,consensus,B,1,3,HIGH,middle
high10112.txt_q1,consensus,A,1,3,HIGH,middle
high10112.txt_q2,consensus,B,1,3,HIGH,hard
high10146.txt_q0,consensus,D,1,3,HIGH,ambiguous
high10146.txt_q1,consensus,C,0,3,HIGH,hard
high10146.txt_q2,consensus,A,1,3,HIGH,ambiguous
high10154.txt_q0,consensus,B,1,3,HIGH,easy
high10154.txt_q1,consensus,A,1,3,HIGH,easy
high10154.txt_q2,consensus,D,0,3,HIGH,hard
high10160.txt_q0,consensus,C,1,3,HIGH,easy
high10160.txt_q1,consensus,D,1,3,HIGH,easy
high10160.txt_q2,consensus,B,1,3,HIGH,middle
high10177.txt_q0,consensus,B,1,3,HIGH,middle
high10177.txt_q1,consensus,C,1,3,HIGH,easy
high10177.txt_q2,consensus,A,1,3,HIGH,middle
high10179.txt_q0,consensus,A,1,3,HIGH,hard
high10179.txt_q1,consensus,C,1,3,HIGH,middle
high10179.txt_q2,consensus,A,1,3,HIGH,ambiguous
high10179.txt_q3,consensus,A,0,3,HIGH,hard
high10187.txt_q0,consensus,C,1,3,HIGH,hard
high10187.txt_q1,consensus,A,1,3,HIGH,easy
high10187.txt_q2,consensus,D,1,3,HIGH,ambiguous
high10215.txt_q0,consensus,B,1,3,HIGH,easy
high10215.txt_q1,consensus,B,1,3,HIGH,ambiguous
high10215.txt_q2,consensus,D,1,3,HIGH,middle
high10229.txt_q0,consensus,C,1,3,HIGH,hard
high10229.txt_q1,consensus,B,1,3,HIGH,hard
high10229.txt_q2,consensus,B,0,3,HIGH,hard
high10255.txt_q0,consensus,B,1,3,HIGH,ambiguous
high10255.txt_q1,consensus,C,1,3,HIGH,middle
high10255.txt_q2,consensus,D,1,3,HIGH,easy
high10261.txt_q0,consensus,D,1,3,HIGH,hard
high10261.txt_q1,consensus,A,1,3,HIGH,easy
high10261.txt_q2,consensus,C,1,3,HIGH,ambiguous
high10261.txt_q3,consensus,C,1,3,HIGH,ambiguous
high10261.txt_q4,consensus,B,1,3,HIGH,hard
high10272.txt_q0,consensus,D,1,3,HIGH,easy
high10272.txt_q1,consensus,A,1,3,HIGH,ambiguous
high10272.txt_q2,consensus,C,1,3,HIGH,ambiguous
high10316.txt_q0,consensus,C,0,3,HIGH,hard
high10316.txt_q1,consensus,A,1,3,HIGH,ambiguous
high10316.txt_q2,consensus,D,1,3,HIGH,hard
high10316.txt_q3,consensus,C,1,3,HIGH,hard
high10355.txt_q0,consensus,A,1,3,HIGH,ambiguous
high10355.txt_q1,consensus,D,1,3,HIGH,hard
high10429.txt_q0,consensus,B,1,3,HIGH,easy
high10429.txt_q1,consensus,B,1,3,HIGH,middle
high10429.txt_q2,consensus,D,1,3,HIGH,easy
high10429.txt_q3,consensus,C,1,3,HIGH,middle
high10449.txt_q0,consensus,A,1,3,HIGH,easy
high10449.txt_q1,consensus,C,1,3,HIGH,middle
high10449.txt_q2,consensus,D,1,3,HIGH,ambiguous
high10449.txt_q3,consensus,A,1,3,HIGH,middle
high10467.txt_q0,consensus,B,1,3,HIGH,middle
high10467.txt_q1,consensus,B,1,3,HIGH,ambiguous
high10467.txt_q2,consensus,A,1,3,HIGH,hard
high10467.txt_q3,consensus,D,1,3,HIGH,hard
high10479.txt_q0,consensus,C,1,3,HIGH,easy
high10479.txt_q1,consensus,B,1,3,HIGH,ambiguous
high10479.txt_q2,consensus,D,1,3,HIGH,ambiguous
high10479.txt_q3,consensus,D,1,3,HIGH,hard
high1048.txt_q0,consensus,D,1,3,HIGH,easy
high1048.txt_q1,consensus,B,1,3,HIGH,hard
high1048.txt_q2,consensus,B,1,3,HIGH,easy
high10490.txt_q0,consensus,B,1,3,HIGH,hard
high10504.txt_q0,consensus,B,1,3,HIGH,hard
high10504.txt_q1,consensus,C,1,3,HIGH,ambiguous
high10504.txt_q2,consensus,D,1,3,HIGH,middle
high10504.txt_q3,consensus,B,1,3,HIGH,ambiguous
high10532.txt_q0,consensus,C,1,3,HIGH,hard
high10532.txt_q1,consensus,D,1,3,HIGH,middle
high10532.txt_q2,consensus,B,0,3,HIGH,hard
high10570.txt_q0,consensus,C,1,3,HIGH,middle
high10570.txt_q1,consensus,B,1,3,HIGH,middle
high10570.txt_q2,consensus,D,1,3,HIGH,ambiguous
high10570.txt_q3,consensus,D,1,3,HIGH,middle
high10570.txt_q4,consensus,A,1,3,HIGH,ambiguous
high10579.txt_q0,consensus,C,1,3,HIGH,hard
high10579.txt_q1,consensus,B,1,3,HIGH,ambiguous
high10579.txt_q2,consensus,C,1,3,HIGH,middle
high10579.txt_q3,consensus,A,1,3,HIGH,hard
high10643.txt_q0,consensus,C,1,3,HIGH,easy
high10643.txt_q1,consensus,A,1,3,HIGH,hard
high10643.txt_q2,consensus,B,1,3,HIGH,hard
high10643.txt_q3,consensus,C,1,3,HIGH,ambiguous
high10666.txt_q0,consensus,B,1,3,HIGH,ambiguous
high10666.txt_q1,consensus,C,1,3,HIGH,ambiguous
high10666.txt_q2,consensus,D,1,3,HIGH,middle
high10668.txt_q0,consensus,D,1,3,HIGH,hard
high10668.txt_q1,consensus,D,1,3,HIGH,ambiguous
high10668.txt_q2,consensus,B,1,3,HIGH,ambiguous
high10677.txt_q0,consensus,A,1,3,HIGH,middle
high10677.txt_q1,consensus,B,1,3,HIGH,ambiguous
high10677.txt_q2,consensus,C,1,3,HIGH,ambiguous
high10677.txt_q3,consensus,A,1,3,HIGH,ambiguous
high10677.txt_q4,consensus,B,1,3,HIGH,easy
high10687.txt_q0,consensus,C,1,3,HIGH,ambiguous
high10687.txt_q1,consensus,A,1,3,HIGH,hard
high10687.txt_q2,consensus,B,1,3,HIGH,easy
high10687.txt_q3,consensus,B,1,3,HIGH,ambiguous
high1069.txt_q0,consensus,C,1,3,HIGH,middle
high1069.txt_q1,consensus,A,1,3,HIGH,middle
high1069.txt_q2,consensus,B,1,3,HIGH,easy
high1069.txt_q3,consensus,B,1,3,HIGH,easy
high107.txt_q0,consensus,C,1,3,HIGH,easy
high107.txt_q1,consensus,B,1,3,HIGH,hard
high107.txt_q2,consensus,A,1,3,HIGH,hard
high10709.txt_q0,consensus,D,1,3,HIGH,easy
high10709.txt_q1,consensus,D,1,3,HIGH,middle
high10709.txt_q2,consensus,D,1,3,HIGH,ambiguous
high10720.txt_q0,consensus,D,1,3,HIGH,hard
high10720.txt_q1,consensus,B,1,3,HIGH,middle
high10720.txt_q2,consensus,C,1,3,HIGH,ambiguous
high10760.txt_q0,consensus,B,1,3,HIGH,ambiguous
high10760.txt_q1,consensus,D,1,3,HIGH,middle
high10760.txt_q2,consensus,B,1,3,HIGH,easy
high10771.txt_q0,consensus,B,1,3,HIGH,ambiguous
high10771.txt_q1,consensus,C,1,3,HIGH,easy
high10771.txt_q2,consensus,C,1,3,HIGH,easy
high10775.txt_q0,consensus,D,1,3,HIGH,middle
high10775.txt_q1,consensus,A,1,3,HIGH,middle
high10775.txt_q2,consensus,B,1,3,HIGH,ambiguous
high10788.txt_q0,consensus,D,1,3,HIGH,hard
high10788.txt_q1,consensus,B,1,3,HIGH,easy
high10788.txt_q2,consensus,C,1,3,HIGH,easy
high1080.txt_q0,consensus,A,1,3,HIGH,middle
high1080.txt_q1,consensus,D,1,3,HIGH,easy
high1080.txt_q2,consensus,C,1,3,HIGH,hard
high1080.txt_q3,consensus,C,1,3,HIGH,easy
high1080.txt_q4,consensus,D,1,3,HIGH,middle
high1083.txt_q0,consensus,C,1,3,HIGH,hard
high1083.txt_q1,consensus,D,1,3,HIGH,middle
high1083.txt_q2,consensus,B,1,3,HIGH,ambiguous
high10897.txt_q0,consensus,C,1,3,HIGH,easy
high10897.txt_q1,consensus,C,1,3,HIGH,hard
high10897.txt_q2,consensus,B,1,3,HIGH,ambiguous
high1090.txt_q0,consensus,B,1,3,HIGH,middle
high1090.txt_q1,consensus,D,1,3,HIGH,easy
high1090.txt_q2,consensus,C,1,3,HIGH,easy
high10902.txt_q0,consensus,A,1,3,HIGH,ambiguous
high10902.txt_q1,consensus,B,1,3,HIGH,middle
high10908.txt_q0,consensus,A,1,3,HIGH,hard
