question_id,n_attempts,n_correct,mean_correct,human_bucket,human_diff_score
0,3498,1750,0.5002858776443682,Human-Mid,0.49971412235563184
1,393,281,0.7150127226463104,Human-Mid,0.28498727735368956
2,3242,1399,0.4315237507711289,Human-Mid,0.5684762492288711
3,2721,2210,0.8122013965453877,Human-Easy,0.1877986034546123
4,2196,961,0.4376138433515483,Human-Mid,0.5623861566484517
5,1854,727,0.39212513484358147,Human-Hard,0.6078748651564185
6,3047,1694,0.555956678700361,Human-Mid,0.44404332129963897
7,2268,1440,0.6349206349206349,Human-Mid,0.3650793650793651
8,4211,2362,0.5609118974115412,Human-Mid,0.43908810258845876
9,1011,394,0.3897131552917903,Human-Hard,0.6102868447082097
10,2381,1093,0.4590508189836203,Human-Mid,0.5409491810163797
11,3165,1789,0.5652448657187994,Human-Mid,0.4347551342812006
12,3959,2143,0.5412983076534479,Human-Mid,0.4587016923465521
13,1901,1395,0.7338243029984218,Human-Mid,0.26617569700157817
14,2571,1475,0.573706728899261,Human-Mid,0.426293271100739
15,276,236,0.855072463768116,Human-Easy,0.14492753623188404
16,4104,2698,0.6574074074074074,Human-Mid,0.34259259259259256
17,1405,802,0.5708185053380783,Human-Mid,0.4291814946619217
18,3558,1612,0.4530635188308038,Human-Mid,0.5469364811691961
19,2748,1762,0.641193595342067,Human-Mid,0.358806404657933
20,2354,1413,0.6002548853016143,Human-Mid,0.3997451146983857
21,1291,963,0.7459333849728892,Human-Mid,0.2540666150271108
22,2961,1851,0.6251266464032421,Human-Mid,0.3748733535967579
23,768,402,0.5234375,Human-Mid,0.4765625
24,2677,1646,0.614867388868136,Human-Mid,0.38513261113186403
25,2590,2030,0.7837837837837838,Human-Mid,0.21621621621621623
26,1694,855,0.5047225501770957,Human-Mid,0.49527744982290434
27,2712,1362,0.5022123893805309,Human-Mid,0.4977876106194691
28,391,287,0.7340153452685422,Human-Mid,0.2659846547314578
29,1874,1128,0.6019210245464247,Human-Mid,0.3980789754535753
30,3700,1960,0.5297297297297298,Human-Mid,0.47027027027027024
31,2333,1588,0.6806686669524218,Human-Mid,0.3193313330475782
32,105,39,0.37142857142857144,Human-Hard,0.6285714285714286
33,125,113,0.904,Human-Easy,0.09599999999999997
34,3665,2069,0.5645293315143247,Human-Mid,0.4354706684856753
35,1555,877,0.5639871382636656,Human-Mid,0.43601286173633436
36,1100,487,0.44272727272727275,Human-Mid,0.5572727272727273
37,2721,1572,0.577728776185226,Human-Mid,0.422271223814774
38,2572,1293,0.5027216174183515,Human-Mid,0.49727838258164847
39,2703,1273,0.47095819459859417,Human-Mid,0.5290418054014059
40,2673,960,0.35914702581369246,Human-Hard,0.6408529741863076
41,1221,628,0.5143325143325144,Human-Mid,0.48566748566748563
42,242,108,0.4462809917355372,Human-Mid,0.5537190082644627
43,775,390,0.5032258064516129,Human-Mid,0.49677419354838714
44,3786,1754,0.46328578975171686,Human-Mid,0.5367142102482831
45,2693,1150,0.42703304864463426,Human-Mid,0.5729669513553657
46,2675,787,0.2942056074766355,Human-Hard,0.7057943925233645
47,3561,2214,0.6217354675652906,Human-Mid,0.37826453243470937
48,1372,563,0.4103498542274053,Human-Mid,0.5896501457725947
49,2712,1225,0.45169616519174044,Human-Mid,0.5483038348082596
50,3079,1870,0.6073400454693082,Human-Mid,0.3926599545306918
51,2095,1231,0.5875894988066825,Human-Mid,0.41241050119331746
52,3307,1494,0.45176897490172363,Human-Mid,0.5482310250982764
53,4457,2464,0.5528382319946152,Human-Mid,0.44716176800538476
54,2326,1027,0.441530524505589,Human-Mid,0.5584694754944111
55,1541,690,0.44776119402985076,Human-Mid,0.5522388059701493
56,4251,2162,0.5085862150082333,Human-Mid,0.4914137849917667
57,220,128,0.5818181818181818,Human-Mid,0.4181818181818182
58,126,77,0.6111111111111112,Human-Mid,0.38888888888888884
59,3261,2301,0.7056117755289788,Human-Mid,0.2943882244710212
60,2241,1076,0.48014279339580546,Human-Mid,0.5198572066041945
61,393,208,0.5292620865139949,Human-Mid,0.47073791348600513
62,1917,1022,0.5331246739697444,Human-Mid,0.4668753260302556
63,1346,478,0.3551263001485884,Human-Hard,0.6448736998514115
64,2475,1790,0.7232323232323232,Human-Mid,0.2767676767676768
65,3021,2490,0.8242303872889771,Human-Easy,0.17576961271102287
66,1834,963,0.5250817884405671,Human-Mid,0.4749182115594329
67,414,154,0.3719806763285024,Human-Hard,0.6280193236714976
68,445,175,0.39325842696629215,Human-Hard,0.6067415730337078
69,3450,1770,0.5130434782608696,Human-Mid,0.4869565217391304
70,947,291,0.307286166842661,Human-Hard,0.692713833157339
71,2718,1150,0.42310522442972776,Human-Mid,0.5768947755702722
72,2208,1171,0.5303442028985508,Human-Mid,0.4696557971014492
73,2149,1558,0.7249883666821778,Human-Mid,0.2750116333178222
74,1483,862,0.5812542144302091,Human-Mid,0.4187457855697909
75,3537,1885,0.5329375176703421,Human-Mid,0.46706248232965786
76,2584,1395,0.5398606811145511,Human-Mid,0.4601393188854489
77,2028,948,0.46745562130177515,Human-Mid,0.5325443786982249
78,1754,1178,0.6716077537058153,Human-Mid,0.32839224629418473
